id,sourceLang,targetLang,sourceString,targetString
1,en,ar-AR,1918 flu,إنفلونزا 1918
2,en,ar-AR,acute bronchitis,التهاب الشعب الهوائية الحاد
3,en,ar-AR,acute respiratory disease,أمراض الجهاز التنفسي الحادة
4,en,ar-AR,AIDS,الإيدز
5,en,ar-AR,airborne droplets,رذاذ في الهواء
6,en,ar-AR,airway,المسلك الهوائي
7,en,ar-AR,alcohol-based,كحولي
8,en,ar-AR,alcohol-based hand rub,تطهير اليدين بالكحول
9,en,ar-AR,alcohol-based hand sanitizer,مطهر كحولي لليدين
10,en,ar-AR,alveolar disease,الأمراض السنخية
11,en,ar-AR,an epidemic,وباء
12,en,ar-AR,annual flu,الإنفلونزا السنوية
13,en,ar-AR,anti-inflammatory drug,عقار مضاد للالتهابات
14,en,ar-AR,antiviral drug,عقار مضاد للفيروسات
15,en,ar-AR,antiviral treatment,علاج مضاد للفيروسات
16,en,ar-AR,assay,تحليل
17,en,ar-AR,asymptomatic,بلا أعراض
18,en,ar-AR,avian flu,إنفلونزا الطيور
19,en,ar-AR,Black Plague,وباء أسود
20,en,ar-AR,blood pressure,ضغط الدم
21,en,ar-AR,body fluid,سوائل الجسم
22,en,ar-AR,breathing,التنفس
23,en,ar-AR,bubonic plague,الطاعون الدُملي
24,en,ar-AR,c19,كوفيد19
25,en,ar-AR,cv19,كوفيد 19
26,en,ar-AR,case fatality rate,معدل حالات الوفيات
27,en,ar-AR,causative agent,مسبب المرض
28,en,ar-AR,CDC,مراكز مكافحة الأمراض والوقاية منها (CDC)
29,en,ar-AR,chemical disinfection,التطهير الكيميائي
30,en,ar-AR,chest x-ray,أشعة سينية على الصدر
31,en,ar-AR,clinical diagnosis,تشخيص إكلينيكي
32,en,ar-AR,clinical trial,تجربة إكلينيكية
33,en,ar-AR,close contact,شخص قريب
34,en,ar-AR,cvirus,فيروس الكورونا
35,en,ar-AR,chronic respiratory disease,أمراض الجهاز التنفسي المزمنة
36,en,ar-AR,common cold,نزلة برد عادية
37,en,ar-AR,common flu,إنفلونزا عادية
38,en,ar-AR,communicable disease,مرض معدٍ
39,en,ar-AR,community spread,انتشار المرض في المجتمع
40,en,ar-AR,community transmission,انتقال العدوى بين أفراد المجتمع
41,en,ar-AR,compromised immune system,ضعف جهاز المناعة
42,en,ar-AR,contagion,عدوى
43,en,ar-AR,contagious,معدٍ
44,en,ar-AR,contagiousness,قابلية انتقال العدوى
45,en,ar-AR,corona,كورونا
46,en,ar-AR,corona virus,فيروس كورونا
47,en,ar-AR,corona virus epidemic,وباء فيروس كورونا
48,en,ar-AR,corona virus outbreak,تفشي فيروس كورونا
49,en,ar-AR,corona virus scare,الرعب من فيروس كورونا
50,en,ar-AR,coronavirus,فيروس كورونا
51,en,ar-AR,coronavirus cases,حالات فيروس كورونا
52,en,ar-AR,coronavirus outbreak,تفشي فيروس كورونا
53,en,ar-AR,coronavirus pandemic,جائحة فيروس كورونا
54,en,ar-AR,coronavirus scare,الرعب من فيروس كورونا
55,en,ar-AR,cough,السعال
56,en,ar-AR,cough etiquette,آداب السعال
57,en,ar-AR,coughing,سعال
58,en,ar-AR,cov 19,كوفيد 19
59,en,ar-AR,cov19,كوفيد-19
60,en,ar-AR,COVID,كوفيد
61,en,ar-AR,COVID-19 crisis,أزمة كوفيد-19
62,en,ar-AR,covid-19,مرض كوفيد 19
63,en,ar-AR,covid19,مرض كوفيد-19
64,en,ar-AR,COVID-19 epidemic,وباء كوفيد-19
65,en,ar-AR,COVID-19 outbreak,تفشي كوفيد-19
66,en,ar-AR,COVID-19 pandemic,جائحة كوفيد-19
67,en,ar-AR,COVID 19,كوفيد 19
68,en,ar-AR,current crisis,الأزمة الحالية
69,en,ar-AR,current health crisis,الأزمة الصحية الحالية
70,en,ar-AR,current outbreak,تفشي المرض الحالي
71,en,ar-AR,current pandemic,الجائحة الحالية
72,en,ar-AR,CV,كوفيد
73,en,ar-AR,CV-19,كوفيد 19
74,en,ar-AR,deadly,مميت
75,en,ar-AR,deadly virus,فيروس مميت
76,en,ar-AR,death rate,معدل الوفيات
77,en,ar-AR,death toll,عدد الوفيات
78,en,ar-AR,decontaminate,تطهير
79,en,ar-AR,detectable,قابل للاكتشاف
80,en,ar-AR,detergent,منظف
81,en,ar-AR,difficulty breathing,صعوبة في التنفس
82,en,ar-AR,diabetes,داء السكري
83,en,ar-AR,diagnosable disease,مرض قابل للتشخيص
84,en,ar-AR,diagnostic protocol,بروتوكول التشخيص
85,en,ar-AR,diagnostic testing,اختبار تشخيصي
86,en,ar-AR,disease itself,المرض نفسه
87,en,ar-AR,disease outbreak,تفشي المرض
88,en,ar-AR,disinfectant,مطهر
89,en,ar-AR,disposable,للاستخدام مرة واحدة
90,en,ar-AR,droplet transmission,انتقال العدوى عبر الرذاذ
91,en,ar-AR,droplets,الرذاذ
92,en,ar-AR,dry cough,سعال جاف
93,en,ar-AR,dry surface contamination,تلوث الأسطح الجافة
94,en,ar-AR,ebola,إيبولا
95,en,ar-AR,effective treatment,علاج فعال
96,en,ar-AR,electron microscope,مجهر الإلكترون
97,en,ar-AR,emergency department,قسم الطوارئ
98,en,ar-AR,epidemic,وباء
99,en,ar-AR,epidemic curve,منحنى انتشار الوباء
100,en,ar-AR,epidemic peak,ذروة الوباء
101,en,ar-AR,epidemiologist,اختصاصي الوبائيات
102,en,ar-AR,exposure,التعرض
103,en,ar-AR,extreme caution,حذر شديد
104,en,ar-AR,eye protection,حماية العين
105,en,ar-AR,face mask,كمامة الوجه
106,en,ar-AR,face masks,كمامات الوجه
107,en,ar-AR,family cluster,التكدس العائلي
108,en,ar-AR,fatality rate,معدل الوفيات
109,en,ar-AR,fecal contamination,تلوث البراز
110,en,ar-AR,fever,الحمى
111,en,ar-AR,flatten the infection curve,تسطيح منحنى العدوى
112,en,ar-AR,flu,إنفلونزا
113,en,ar-AR,food safety,سلامة الغذاء
114,en,ar-AR,formaldehyde,فورمالدهيد
115,en,ar-AR,gastroenteritis,التهاب المعدة والأمعاء
116,en,ar-AR,germicide,مبيد الجراثيم
117,en,ar-AR,global pandemic,جائحة عالمية
118,en,ar-AR,global warming,الاحترار العالمي
119,en,ar-AR,good respiratory hygiene,الاهتمام السليم بصحة الجهاز التنفسي
120,en,ar-AR,Guangdong,جوانجدونج
121,en,ar-AR,H1N1,إنفلونزا H1N1
122,en,ar-AR,H1N1 virus,فيروس إنفلونزا H1N1
123,en,ar-AR,hand disinfectant,منظف اليدين
124,en,ar-AR,hand sanitizer,مطهر اليدين
125,en,ar-AR,health care provider,مقدم الرعاية الصحية
126,en,ar-AR,health crisis,أزمة صحية
127,en,ar-AR,health plan carrier,شركة التأمين الصحي
128,en,ar-AR,health services,الخدمات الصحية
129,en,ar-AR,heart failure,قصور في القلب
130,en,ar-AR,high fever,حمى شديدة
131,en,ar-AR,HIV,فيروس نقص المناعة البشرية
132,en,ar-AR,hospitalize,دخول المستشفى
133,en,ar-AR,household bleach,منظف منزلي
134,en,ar-AR,Hubei,هوبي
135,en,ar-AR,hydrogen peroxide,بيروكسيد الهيدروجين
136,en,ar-AR,hygiene,النظافة الصحية
137,en,ar-AR,immune system,الجهاز المناعي
138,en,ar-AR,immunity,المناعة
139,en,ar-AR,immunocompromised,ضعف المناعة
140,en,ar-AR,immunologist,أخصائي أمراض المناعة
141,en,ar-AR,incubation,حضانة المرض
142,en,ar-AR,incubation period,فترة حضانة المرض
143,en,ar-AR,indirect contact,تواصل غير مباشر
144,en,ar-AR,infect,إصابة بالعدوى
145,en,ar-AR,infection,عدوى
146,en,ar-AR,infectious,معدٍ
147,en,ar-AR,infectivity,القدرة على العدوى
148,en,ar-AR,influenza,إنفلونزا
149,en,ar-AR,initial transmission event,حادثة انتقال العدوى الأولى
150,en,ar-AR,intensive care equipment,معدات الرعاية المركزة
151,en,ar-AR,intermediate host,مضيف وسيط
152,en,ar-AR,intrauterine,داخل الرحم
153,en,ar-AR,intubation,تنبيب
154,en,ar-AR,isolation,عزل
155,en,ar-AR,Isopropanol,إيزوبوبانول
156,en,ar-AR,laboratory test kit,لوازم الاختبار المعملي
157,en,ar-AR,laboratory testing,اختبارات معملية
158,en,ar-AR,lack of testing,نقص إجراء الاختبارات
159,en,ar-AR,lack of tests,نقص الاختبارات
160,en,ar-AR,latest updates,آخر المستجدات
161,en,ar-AR,liver failure,قصور الكبد
162,en,ar-AR,local public health authority,هيئة الصحة العامة المحلية
163,en,ar-AR,lockdown,التزام المنزل
164,en,ar-AR,lungs,الرئتين
165,en,ar-AR,masks,الكمامات
166,en,ar-AR,measles,الحصبة
167,en,ar-AR,mechanical ventilation,جهاز التنفس الصناعي الميكانيكي
168,en,ar-AR,media coverage,التغطية الإعلامية
169,en,ar-AR,medical care,الرعاية الطبية
170,en,ar-AR,MERS,فيروس ميرس
171,en,ar-AR,MERS CoV,ميرس-كوف
172,en,ar-AR,microbiologist,أخصائي ميكروبيولوجيا
173,en,ar-AR,mild cough,سعال خفيف
174,en,ar-AR,mortality rate,نسبة الوفيات
175,en,ar-AR,multi-organ failure,قصور في عدة أعضاء
176,en,ar-AR,nasal congestion,احتقان بالأنف
177,en,ar-AR,neutral detergent,منظف متعادل
178,en,ar-AR,new normal,المعدل الطبيعي الجديد
179,en,ar-AR,novel corona virus,فيروس كورونا المستجد
180,en,ar-AR,novel coronavirus,فيروس الكورونا المستجد
181,en,ar-AR,novel coronavirus outbreak,تفشي فيروس كورونا المستجد
182,en,ar-AR,novel virus,فيروس مستجد
183,en,ar-AR,online medical consultation,استشارات طبية على الإنترنت
184,en,ar-AR,onset,ظهور
185,en,ar-AR,outbreak,تفشي
186,en,ar-AR,outbreak readiness,الاستعداد لتفشي المرض
187,en,ar-AR,overall case fatality,مجمل معدل الوفيات
188,en,ar-AR,pandemic,جائحة
189,en,ar-AR,pangolin,حيوان البنغول آكل النمل
190,en,ar-AR,pathogen,مسببات الأمراض
191,en,ar-AR,pathology,علم الأمراض
192,en,ar-AR,patient care equipment,معدات رعاية المرضى
193,en,ar-AR,personal protective equipment,معدات الحماية الشخصية
194,en,ar-AR,person-to-person transmission,انتقال العدوى من شخص لشخص
195,en,ar-AR,phlegm,البلغم
196,en,ar-AR,physical contact,اتصال مباشر
197,en,ar-AR,plague,طاعون
198,en,ar-AR,pneumonia,الالتهاب الرئوي
199,en,ar-AR,pneumonias,التهاب الرئة
200,en,ar-AR,positive test,نتائج اختبار إيجابية
201,en,ar-AR,precaution,احتراز
202,en,ar-AR,precautionary,احترازي
203,en,ar-AR,pre-existing condition,حالة سابقة
204,en,ar-AR,preparedness,الاستعداد
205,en,ar-AR,prognosis,الإنذار
206,en,ar-AR,protect myself,حماية نفسي
207,en,ar-AR,protect others,حماية الآخرين
208,en,ar-AR,protect yourself,حماية نفسك
209,en,ar-AR,protective measures,تدابير وقائية
210,en,ar-AR,public health crisis,أزمة صحية عامة
211,en,ar-AR,pulmonary tissue damage,تلف أنسجة الرئة
212,en,ar-AR,quarantine,حجر صحي
213,en,ar-AR,rapid risk assessment,التقييم السريع للمخاطر
214,en,ar-AR,reagent,الكاشف
215,en,ar-AR,regular flu,إنفلونزا اعتيادية
216,en,ar-AR,reinfection,الإصابة مرة أخرى
217,en,ar-AR,renal disease,مرض كلوي
218,en,ar-AR,renal failure,فشل كلوي
219,en,ar-AR,respirator,جهاز تنفس
220,en,ar-AR,respiratory,تنفسي
221,en,ar-AR,respiratory disease,مرض تنفسي
222,en,ar-AR,respiratory distress,ضائقة تنفسية
223,en,ar-AR,respiratory droplets,رذاذ متطاير من الجهاز التنفسي
224,en,ar-AR,respiratory hygiene,الحفاظ على صحة الجهاز التنفسي
225,en,ar-AR,respiratory illness,داء تنفسي
226,en,ar-AR,respiratory syndrome,المتلازمة التنفسية
