id,sourceLang,targetLang,sourceString,targetString
1,en,ca-ES,1918 flu,grip de 1918
2,en,ca-ES,acute bronchitis,bronquitis aguda
3,en,ca-ES,acute respiratory disease,malaltia respiratòria aguda
4,en,ca-ES,AIDS,SIDA
5,en,ca-ES,airborne droplets,gotes aèries
6,en,ca-ES,airway,via aèria
7,en,ca-ES,alcohol-based,a base d’alcohol
8,en,ca-ES,alcohol-based hand rub,producte a base d’alcohol per fregar-se les mans
9,en,ca-ES,alcohol-based hand sanitizer,desinfectant de mans a base d’alcohol
10,en,ca-ES,alveolar disease,malaltia alveolar
11,en,ca-ES,an epidemic,una epidèmia
12,en,ca-ES,annual flu,grip anual
13,en,ca-ES,anti-inflammatory drug,fàrmac antiinflamatori
14,en,ca-ES,antiviral drug,fàrmac antivíric
15,en,ca-ES,antiviral treatment,tractament antivíric
16,en,ca-ES,assay,assaig
17,en,ca-ES,asymptomatic,asimptomàtic
18,en,ca-ES,avian flu,grip aviària
19,en,ca-ES,Black Plague,pesta negra
20,en,ca-ES,blood pressure,pressió arterial
21,en,ca-ES,body fluid,fluid corporal
22,en,ca-ES,breathing,respirar
23,en,ca-ES,bubonic plague,pesta bubònica
24,en,ca-ES,c19,c19
25,en,ca-ES,cv19,cv19
26,en,ca-ES,case fatality rate,taxa de letalitat
27,en,ca-ES,causative agent,agent causatiu
28,en,ca-ES,CDC,CDC
29,en,ca-ES,chemical disinfection,desinfecció química
30,en,ca-ES,chest x-ray,radiografia del tòrax
31,en,ca-ES,clinical diagnosis,diagnòstic clínic
32,en,ca-ES,clinical trial,assaig clínic
33,en,ca-ES,close contact,contacte proper
34,en,ca-ES,cvirus,cvirus
35,en,ca-ES,chronic respiratory disease,malaltia respiratòria crònica
36,en,ca-ES,common cold,refredat comú
37,en,ca-ES,common flu,grip comuna
38,en,ca-ES,communicable disease,malaltia contagiosa
39,en,ca-ES,community spread,propagació comunitària
40,en,ca-ES,community transmission,transmissió comunitària
41,en,ca-ES,compromised immune system,sistema immunitari compromès
42,en,ca-ES,contagion,contagi
43,en,ca-ES,contagious,contagiós
44,en,ca-ES,contagiousness,contagiositat
45,en,ca-ES,corona,corona
46,en,ca-ES,corona virus,coronavirus
47,en,ca-ES,corona virus epidemic,epidèmia de coronavirus
48,en,ca-ES,corona virus outbreak,brot de coronavirus
49,en,ca-ES,corona virus scare,alarma pel coronavirus
50,en,ca-ES,coronavirus,coronavirus
51,en,ca-ES,coronavirus cases,casos de coronavirus
52,en,ca-ES,coronavirus outbreak,brot de coronavirus
53,en,ca-ES,coronavirus pandemic,pandèmia de coronavirus
54,en,ca-ES,coronavirus scare,alarma pel coronavirus
55,en,ca-ES,cough,tos
56,en,ca-ES,cough etiquette,protocol en tossir
57,en,ca-ES,coughing,tossir
58,en,ca-ES,cov 19,cov 19
59,en,ca-ES,cov19,cov19
60,en,ca-ES,COVID,COVID
61,en,ca-ES,COVID-19 crisis,crisi de COVID-19
62,en,ca-ES,covid-19,covid-19
63,en,ca-ES,covid19,covid19
64,en,ca-ES,COVID-19 epidemic,epidèmia de COVID-19
65,en,ca-ES,COVID-19 outbreak,brot de COVID-19
66,en,ca-ES,COVID-19 pandemic,pandèmia de COVID-19
67,en,ca-ES,COVID 19,COVID 19
68,en,ca-ES,current crisis,crisi actual
69,en,ca-ES,current health crisis,crisi sanitària actual
70,en,ca-ES,current outbreak,brot actual
71,en,ca-ES,current pandemic,pandèmia actual
72,en,ca-ES,CV,CV
73,en,ca-ES,CV-19,CV-19
74,en,ca-ES,deadly,mortal
75,en,ca-ES,deadly virus,virus mortal
76,en,ca-ES,death rate,taxa de mortalitat
77,en,ca-ES,death toll,nombre de morts
78,en,ca-ES,decontaminate,descontaminar
79,en,ca-ES,detectable,detectable
80,en,ca-ES,detergent,detergent
81,en,ca-ES,difficulty breathing,dificultat per respirar
82,en,ca-ES,diabetes,diabetis
83,en,ca-ES,diagnosable disease,malaltia diagnosticable
84,en,ca-ES,diagnostic protocol,protocol diagnòstic
85,en,ca-ES,diagnostic testing,proves diagnòstiques
86,en,ca-ES,disease itself,la malaltia en si mateixa
87,en,ca-ES,disease outbreak,brot de la malaltia
88,en,ca-ES,disinfectant,desinfectant
89,en,ca-ES,disposable,d’un sol ús
90,en,ca-ES,droplet transmission,transmissió per gotes
91,en,ca-ES,droplets,gotes
92,en,ca-ES,dry cough,tos seca
93,en,ca-ES,dry surface contamination,contaminació de superfícies seques
94,en,ca-ES,ebola,ebola
95,en,ca-ES,effective treatment,tractament eficaç
96,en,ca-ES,electron microscope,microscopi electrònic
97,en,ca-ES,emergency department,departament d’emergències
98,en,ca-ES,epidemic,epidèmia
99,en,ca-ES,epidemic curve,corba epidèmica
100,en,ca-ES,epidemic peak,pic epidèmic
101,en,ca-ES,epidemiologist,epidemiòleg
102,en,ca-ES,exposure,exposició
103,en,ca-ES,extreme caution,precaució extrema
104,en,ca-ES,eye protection,protecció ocular
105,en,ca-ES,face mask,màscara facial
