id,sourceLang,targetLang,sourceString,targetString
1,en,cs-CZ,1918 flu,chřipka z roku 1918
2,en,cs-CZ,acute bronchitis,akutní bronchitida
3,en,cs-CZ,acute respiratory disease,akutní respirační onemocnění
4,en,cs-CZ,AIDS,AIDS
5,en,cs-CZ,airborne droplets,kapénková infekce
6,en,cs-CZ,airway,dýchací cesty
7,en,cs-CZ,alcohol-based,na bázi alkoholu
8,en,cs-CZ,alcohol-based hand rub,emulze na ruce na bázi alkoholu
9,en,cs-CZ,alcohol-based hand sanitizer,dezinfekce na ruce na bázi alkoholu
10,en,cs-CZ,alveolar disease,alveolární onemocnění
11,en,cs-CZ,an epidemic,epidemie
12,en,cs-CZ,annual flu,každoroční chřipka
13,en,cs-CZ,anti-inflammatory drug,protizánětlivý lék
14,en,cs-CZ,antiviral drug,antivirový lék
15,en,cs-CZ,antiviral treatment,antivirová léčba
16,en,cs-CZ,assay,analýza
17,en,cs-CZ,asymptomatic,bez příznaků
18,en,cs-CZ,avian flu,ptačí chřipka
19,en,cs-CZ,Black Plague,Černý mor
20,en,cs-CZ,blood pressure,krevní tlak
21,en,cs-CZ,body fluid,tělesná tekutina
22,en,cs-CZ,breathing,dýchání
23,en,cs-CZ,bubonic plague,dýmějový mor
24,en,cs-CZ,c19,c19
25,en,cs-CZ,cv19,cv19
26,en,cs-CZ,case fatality rate,smrtnost
27,en,cs-CZ,causative agent,původce
28,en,cs-CZ,CDC,CDC
29,en,cs-CZ,chemical disinfection,Chemická dezinfekce
30,en,cs-CZ,chest x-ray,rentgen hrudníku
31,en,cs-CZ,clinical diagnosis,klinická diagnóza
32,en,cs-CZ,clinical trial,klinické hodnocení
33,en,cs-CZ,close contact,blízký kontakt
34,en,cs-CZ,cvirus,cvirus
35,en,cs-CZ,chronic respiratory disease,chronické respirační onemocnění
36,en,cs-CZ,common cold,běžné nachlazení
37,en,cs-CZ,common flu,běžná chřipka
38,en,cs-CZ,communicable disease,přenosná nemoc
39,en,cs-CZ,community spread,šíření ve společnosti
40,en,cs-CZ,community transmission,přenos ve společnosti
