id,sourceLang,targetLang,sourceString,targetString
1,en,da-DK,1918 flu,1918-influenzaen
2,en,da-DK,acute bronchitis,akut bronkitis
3,en,da-DK,acute respiratory disease,akut luftvejssygdom
4,en,da-DK,AIDS,AIDS
5,en,da-DK,airborne droplets,luftbårne dråber
6,en,da-DK,airway,luftveje
7,en,da-DK,alcohol-based,alkoholbaseret
8,en,da-DK,alcohol-based hand rub,alkoholbaseret håndcreme
9,en,da-DK,alcohol-based hand sanitizer,alkoholbaseret håndrensningsmiddel
10,en,da-DK,alveolar disease,alveolær sygdom
11,en,da-DK,an epidemic,en epidemi
12,en,da-DK,annual flu,årlig influenza
13,en,da-DK,anti-inflammatory drug,antiinflammatorisk lægemiddel
14,en,da-DK,antiviral drug,antiviralt lægemiddel
15,en,da-DK,antiviral treatment,antiviral behandling
16,en,da-DK,assay,undersøgelse
17,en,da-DK,asymptomatic,asymptomatisk
18,en,da-DK,avian flu,fugleinfluenza
19,en,da-DK,Black Plague,Den sorte pest
20,en,da-DK,blood pressure,blodtryk
21,en,da-DK,body fluid,kropsvæske
22,en,da-DK,breathing,vejrtrækning
23,en,da-DK,bubonic plague,byldepest
24,en,da-DK,c19,c19
25,en,da-DK,cv19,cv19
26,en,da-DK,case fatality rate,dødelighed per sag
27,en,da-DK,causative agent,forårsagende middel
28,en,da-DK,CDC,CDC
29,en,da-DK,chemical disinfection,kemisk desinfektion
30,en,da-DK,chest x-ray,røntgenbillede af brystet
31,en,da-DK,clinical diagnosis,klinisk diagnose
32,en,da-DK,clinical trial,klinisk forsøg
33,en,da-DK,close contact,tæt kontakt
34,en,da-DK,cvirus,cvirus
35,en,da-DK,chronic respiratory disease,kronisk luftvejssygdom
36,en,da-DK,common cold,almindelig forkølelse
37,en,da-DK,common flu,almindelig influenza
38,en,da-DK,communicable disease,overførbar sygdom
39,en,da-DK,community spread,samfundsspredning
40,en,da-DK,community transmission,samfundstransmission
41,en,da-DK,compromised immune system,kompromitteret immunsystem
42,en,da-DK,contagion,smittefare
43,en,da-DK,contagious,smitsom
44,en,da-DK,contagiousness,smitsomhed
45,en,da-DK,corona,corona
46,en,da-DK,corona virus,coronavirus
47,en,da-DK,corona virus epidemic,coronavirus-epidemi
48,en,da-DK,corona virus outbreak,coronavirus-udbrud
49,en,da-DK,corona virus scare,coronavirus-frygt
50,en,da-DK,coronavirus,coronavirus
51,en,da-DK,coronavirus cases,tilfælde af coronavirus
52,en,da-DK,coronavirus outbreak,coronavirus-udbrud
53,en,da-DK,coronavirus pandemic,coronavirus-pandemi
54,en,da-DK,coronavirus scare,coronavirus-frygt
55,en,da-DK,cough,hoste
56,en,da-DK,cough etiquette,hostetikette
57,en,da-DK,coughing,hoster
58,en,da-DK,cov 19,cov 19
59,en,da-DK,cov19,cov19
60,en,da-DK,COVID,COVID
