id,sourceLang,targetLang,sourceString,targetString
1,en,el-GR,1918 flu,γρίπη 1918
2,en,el-GR,acute bronchitis,οξεία βρογχίτιδα
3,en,el-GR,acute respiratory disease,οξεία αναπνευστική νόσος
4,en,el-GR,AIDS,AIDS
5,en,el-GR,airborne droplets,αερομεταφερόμενα σταγονίδια
6,en,el-GR,airway,αναπνευστική οδός
7,en,el-GR,alcohol-based,με βάση το αλκοόλ
8,en,el-GR,alcohol-based hand rub,αλοιφή χεριών με βάση το αλκοόλ
9,en,el-GR,alcohol-based hand sanitizer,απολυμαντικό χεριών με βάση το αλκοόλ
10,en,el-GR,alveolar disease,νόσος κυψελίδας
11,en,el-GR,an epidemic,μια επιδημία
12,en,el-GR,annual flu,ετήσια γρίπη
13,en,el-GR,anti-inflammatory drug,αντιφλεγμονώδες φάρμακο
14,en,el-GR,antiviral drug,αντιικό
15,en,el-GR,antiviral treatment,αντιική θεραπεία
16,en,el-GR,assay,χημική εξέταση
17,en,el-GR,asymptomatic,ασυμπτωματικό
18,en,el-GR,avian flu,γρίπη των πτηνών
19,en,el-GR,Black Plague,Μαύρη Πανώλη
20,en,el-GR,blood pressure,πίεση αίματος
21,en,el-GR,body fluid,υγρό σώματος
22,en,el-GR,breathing,αναπνοή
23,en,el-GR,bubonic plague,βουβωνική πανώλη
24,en,el-GR,c19,c19
25,en,el-GR,cv19,cv19
26,en,el-GR,case fatality rate,ποσοστό θνησιμότητας
27,en,el-GR,causative agent,αιτιολογικός παράγοντας
28,en,el-GR,CDC,CDC
29,en,el-GR,chemical disinfection,χημική απολύμανση
30,en,el-GR,chest x-ray,ακτινογραφία θώρακος
31,en,el-GR,clinical diagnosis,κλινική διάγνωση
32,en,el-GR,clinical trial,κλινική δοκιμή
33,en,el-GR,close contact,στενή επαφή
34,en,el-GR,cvirus,cvirus
35,en,el-GR,chronic respiratory disease,χρόνια αναπνευστική νόσος
36,en,el-GR,common cold,κοινό κρυολόγημα
37,en,el-GR,common flu,κοινή γρίπη
38,en,el-GR,communicable disease,μεταδοτική ασθένεια
39,en,el-GR,community spread,εξάπλωση στην κοινότητα
40,en,el-GR,community transmission,μετάδοση στην κοινότητα
41,en,el-GR,compromised immune system,εξασθενημένο ανοσοποιητικό σύστημα
42,en,el-GR,contagion,μετάδοση ασθένειας
43,en,el-GR,contagious,μεταδοτική ασθένεια
44,en,el-GR,contagiousness,μεταδοτικότητα
45,en,el-GR,corona,κορόνα
46,en,el-GR,corona virus,κορονοϊός
47,en,el-GR,corona virus epidemic,επιδημία κορονοϊού
48,en,el-GR,corona virus outbreak,εμφάνιση κορονοϊού
49,en,el-GR,corona virus scare,φόβος κορονοϊού
50,en,el-GR,coronavirus,κορονοϊός
51,en,el-GR,coronavirus cases,κρούσματα κορονοϊού
52,en,el-GR,coronavirus outbreak,εμφάνιση κορονοϊού
53,en,el-GR,coronavirus pandemic,πανδημία κορονοϊού
54,en,el-GR,coronavirus scare,φόβος κορονοϊού
55,en,el-GR,cough,βήχας
56,en,el-GR,cough etiquette,σωστός τρόπος βήχα
57,en,el-GR,coughing,βήξιμο
58,en,el-GR,cov 19,cov 19
59,en,el-GR,cov19,cov19
60,en,el-GR,COVID,COVID
61,en,el-GR,COVID-19 crisis,κρίση COVID-19
62,en,el-GR,covid-19,covid-19
63,en,el-GR,covid19,covid19
64,en,el-GR,COVID-19 epidemic,επιδημία COVID-19
65,en,el-GR,COVID-19 outbreak,εμφάνιση COVID-19
66,en,el-GR,COVID-19 pandemic,πανδημία COVID-19
67,en,el-GR,COVID 19,COVID 19
68,en,el-GR,current crisis,τρέχουσα κρίση
69,en,el-GR,current health crisis,τρέχουσα κρίση υγείας
70,en,el-GR,current outbreak,τρέχουσα εμφάνιση
71,en,el-GR,current pandemic,τρέχουσα πανδημία
72,en,el-GR,CV,CV
73,en,el-GR,CV-19,CV-19
74,en,el-GR,deadly,θανατηφόρο
75,en,el-GR,deadly virus,θανατηφόρος ιός
76,en,el-GR,death rate,ποσοστό θνησιμότητας
77,en,el-GR,death toll,απολογισμός νεκρών
78,en,el-GR,decontaminate,απολυμαίνω
79,en,el-GR,detectable,ανιχνεύσιμο
80,en,el-GR,detergent,απορρυπαντικό
