id,sourceLang,targetLang,sourceString,targetString
1,en,fi-FI,1918 flu,1918 influenssa
2,en,fi-FI,acute bronchitis,akuutti keuhkoputkentulehdus
3,en,fi-FI,acute respiratory disease,akuutti hengityselinsairaus
4,en,fi-FI,AIDS,AIDS
5,en,fi-FI,airborne droplets,ilmassa kulkevat pisarat
6,en,fi-FI,airway,hengitystie
7,en,fi-FI,alcohol-based,alkoholipohjainen
8,en,fi-FI,alcohol-based hand rub,alkoholipohjainen käsidesi
9,en,fi-FI,alcohol-based hand sanitizer,alkoholipohjainen desinfektiohuuhde
10,en,fi-FI,alveolar disease,alveolaarinen sairaus
11,en,fi-FI,an epidemic,epidemia
12,en,fi-FI,annual flu,kausi-influenssa
13,en,fi-FI,anti-inflammatory drug,tulehduskipulääke
14,en,fi-FI,antiviral drug,viruslääke
15,en,fi-FI,antiviral treatment,virustentorjuntahoito
16,en,fi-FI,assay,koe
17,en,fi-FI,asymptomatic,oireeton
18,en,fi-FI,avian flu,lintuinfluenssa
19,en,fi-FI,Black Plague,Musta surma
20,en,fi-FI,blood pressure,verenpaine
21,en,fi-FI,body fluid,ruumiinneste
22,en,fi-FI,breathing,hengitys
23,en,fi-FI,bubonic plague,paiserutto
24,en,fi-FI,c19,c19
25,en,fi-FI,cv19,cv19
26,en,fi-FI,case fatality rate,kuolevuus
27,en,fi-FI,causative agent,taudinaiheuttaja
28,en,fi-FI,CDC,CDC
29,en,fi-FI,chemical disinfection,kemiallinen desinfiointi
30,en,fi-FI,chest x-ray,rintakehän röntgenkuvaus
31,en,fi-FI,clinical diagnosis,kliininen diagnoosi
32,en,fi-FI,clinical trial,kliininen tutkimus
33,en,fi-FI,close contact,läheinen kosketus
34,en,fi-FI,cvirus,c-virus
35,en,fi-FI,chronic respiratory disease,krooninen hengityselinsairaus
36,en,fi-FI,common cold,vilustuminen
37,en,fi-FI,common flu,flunssa
38,en,fi-FI,communicable disease,tartuntatauti
39,en,fi-FI,community spread,leviäminen yhteisössä
40,en,fi-FI,community transmission,tartunnat yhteisössä
41,en,fi-FI,compromised immune system,heikentynyt immuunijärjestelmä
42,en,fi-FI,contagion,tartunta
43,en,fi-FI,contagious,tarttuva
44,en,fi-FI,contagiousness,tarttuvuus
45,en,fi-FI,corona,korona
46,en,fi-FI,corona virus,koronavirus
47,en,fi-FI,corona virus epidemic,koronavirusepidemia
48,en,fi-FI,corona virus outbreak,koronavirusaalto
49,en,fi-FI,corona virus scare,koronaviruksen pelko
50,en,fi-FI,coronavirus,koronavirus
51,en,fi-FI,coronavirus cases,koronavirustapaukset
52,en,fi-FI,coronavirus outbreak,koronavirusaalto
53,en,fi-FI,coronavirus pandemic,koronaviruspandemia
54,en,fi-FI,coronavirus scare,koronaviruksen pelko
55,en,fi-FI,cough,yskä
56,en,fi-FI,cough etiquette,yskimisetiketti
57,en,fi-FI,coughing,yskiminen
58,en,fi-FI,cov 19,cov 19
59,en,fi-FI,cov19,cov19
60,en,fi-FI,COVID,COVID
61,en,fi-FI,COVID-19 crisis,COVID-19 -kriisi
62,en,fi-FI,covid-19,covid-19
63,en,fi-FI,covid19,covid19
64,en,fi-FI,COVID-19 epidemic,COVID-19 -epidemia
65,en,fi-FI,COVID-19 outbreak,COVID-19 -aalto
66,en,fi-FI,COVID-19 pandemic,COVID-19 -pandemia
67,en,fi-FI,COVID 19,COVID 19
68,en,fi-FI,current crisis,nykyinen kriisi
69,en,fi-FI,current health crisis,nykyinen terveyskriisi
70,en,fi-FI,current outbreak,nykyinen aalto
71,en,fi-FI,current pandemic,nykyinen pandemia
72,en,fi-FI,CV,CV
73,en,fi-FI,CV-19,CV-19
74,en,fi-FI,deadly,tappava
75,en,fi-FI,deadly virus,tappava virus
76,en,fi-FI,death rate,kuolleisuusaste
77,en,fi-FI,death toll,kuolleiden määrä
78,en,fi-FI,decontaminate,dekontaminointi
79,en,fi-FI,detectable,havaittava
80,en,fi-FI,detergent,puhdistusaine
81,en,fi-FI,difficulty breathing,hengitysvaikeudet
82,en,fi-FI,diabetes,diabetes
83,en,fi-FI,diagnosable disease,diagnosoitava tauti
84,en,fi-FI,diagnostic protocol,diagnostinen protokolla
85,en,fi-FI,diagnostic testing,diagnostinen testaus
86,en,fi-FI,disease itself,itse tauti
87,en,fi-FI,disease outbreak,tautiaalto
88,en,fi-FI,disinfectant,desinfiointiaine
89,en,fi-FI,disposable,kertakäyttöinen
90,en,fi-FI,droplet transmission,pisaratartunta
91,en,fi-FI,droplets,pisarat
92,en,fi-FI,dry cough,kuiva yskä
93,en,fi-FI,dry surface contamination,kuiva pintakontaminaatio
94,en,fi-FI,ebola,ebola
95,en,fi-FI,effective treatment,tehokas hoito
96,en,fi-FI,electron microscope,elektronimikroskooppi
