id,sourceLang,targetLang,sourceString,targetString
1,en,he-IL,1918 flu,שפעת 1918
2,en,he-IL,acute bronchitis,ברונכיטיס חמור
3,en,he-IL,acute respiratory disease,מחלה נשימתית חמורה
4,en,he-IL,AIDS,איידס
5,en,he-IL,airborne droplets,טיפות נישאות באוויר
6,en,he-IL,airway,דרכי אוויר
7,en,he-IL,alcohol-based,מבוסס אלכוהול
8,en,he-IL,alcohol-based hand rub,קרם ידיים על בסיס אלכוהול
9,en,he-IL,alcohol-based hand sanitizer,מחטא ידיים על בסיס אלכוהול
10,en,he-IL,alveolar disease,מחלת נאדיות הריאה
11,en,he-IL,an epidemic,מגיפה
12,en,he-IL,annual flu,שפעת עונתית
13,en,he-IL,anti-inflammatory drug,תרופה אנטי דלקתית
14,en,he-IL,antiviral drug,תרופה אנטי-ויראלית
15,en,he-IL,antiviral treatment,טיפול אנטי-ויראלי
16,en,he-IL,assay,בדיקת מעבדה
17,en,he-IL,asymptomatic,אסימפטומטי
18,en,he-IL,avian flu,שפעת העופות
19,en,he-IL,Black Plague,המגפה השחורה
20,en,he-IL,blood pressure,לחץ דם
21,en,he-IL,body fluid,נוזלי גוף
22,en,he-IL,breathing,לנשום
23,en,he-IL,bubonic plague,מגיפת דבר
24,en,he-IL,c19,c19
25,en,he-IL,cv19,cv19
26,en,he-IL,case fatality rate,קצב שיעור התמותה
27,en,he-IL,causative agent,גורם סיבתי
28,en,he-IL,CDC,המרכז לבקרת מחלות
29,en,he-IL,chemical disinfection,חיטוי כימי
30,en,he-IL,chest x-ray,רנטגן חזה
31,en,he-IL,clinical diagnosis,אבחנה רפואית
32,en,he-IL,clinical trial,ניסוי קליני
33,en,he-IL,close contact,מגע קרוב
34,en,he-IL,cvirus,cvirus
35,en,he-IL,chronic respiratory disease,מחלה נשימתית כרונית
36,en,he-IL,common cold,צינון
37,en,he-IL,common flu,שפעת נפוצה
38,en,he-IL,communicable disease,מחלה מדבקת
39,en,he-IL,community spread,התפשטות בקהילה
40,en,he-IL,community transmission,הדבקה בקהילה
41,en,he-IL,compromised immune system,פגיעה במערכת החיסונית
42,en,he-IL,contagion,הידבקות
43,en,he-IL,contagious,מדבק
44,en,he-IL,contagiousness,מדבקת
45,en,he-IL,corona,קורונה
46,en,he-IL,corona virus,וירוס הקורונה
47,en,he-IL,corona virus epidemic,מגפת וירוס הקורונה
48,en,he-IL,corona virus outbreak,התפרצות וירוס הקורונה
49,en,he-IL,corona virus scare,בהלת וירוס הקורונה
50,en,he-IL,coronavirus,וירוסהקורונה
51,en,he-IL,coronavirus cases,מקרי וירוס הקורונה
52,en,he-IL,coronavirus outbreak,התפרצות וירוסהקורונה
53,en,he-IL,coronavirus pandemic,מגפת וירוסהקורונה
54,en,he-IL,coronavirus scare,בהלת וירוסהקורונה
55,en,he-IL,cough,שיעול
56,en,he-IL,cough etiquette,נימוסי שיעול
57,en,he-IL,coughing,להשתעל
58,en,he-IL,cov 19,cov 19
59,en,he-IL,cov19,cov19
60,en,he-IL,COVID,COVID
61,en,he-IL,COVID-19 crisis,COVID-19 משבר
62,en,he-IL,covid-19,covid-19
63,en,he-IL,covid19,covid19
64,en,he-IL,COVID-19 epidemic,COVID-19 מגיפת
65,en,he-IL,COVID-19 outbreak,COVID-19 התפרצות
66,en,he-IL,COVID-19 pandemic,COVID-19 מגיפת
67,en,he-IL,COVID 19,COVID 19
68,en,he-IL,current crisis,המשבר הנוכחי
69,en,he-IL,current health crisis,משבר הבריאות הנוכחי
70,en,he-IL,current outbreak,ההתפרצות הנוכחית
71,en,he-IL,current pandemic,המגיפה הנוכחית
72,en,he-IL,CV,CV
73,en,he-IL,CV-19,CV-19
74,en,he-IL,deadly,קטלני
75,en,he-IL,deadly virus,וירוס קטלני
76,en,he-IL,death rate,שיעור תמותה
77,en,he-IL,death toll,מניין המתים
78,en,he-IL,decontaminate,טיהור
79,en,he-IL,detectable,ניתן לגילוי
80,en,he-IL,detergent,מחטא
81,en,he-IL,difficulty breathing,בעיות בנשימה
82,en,he-IL,diabetes,סכרת
83,en,he-IL,diagnosable disease,מחלה שניתנת לאיבחון
84,en,he-IL,diagnostic protocol,פרוטוקול איבחון
85,en,he-IL,diagnostic testing,בדיקה לאבחנה
86,en,he-IL,disease itself,המחלה עצמה
87,en,he-IL,disease outbreak,התפרצות המחלה
88,en,he-IL,disinfectant,חומר חיטוי
89,en,he-IL,disposable,חד פעמי
90,en,he-IL,droplet transmission,העברה של טיפות
91,en,he-IL,droplets,טיפות
92,en,he-IL,dry cough,שיעול יבש
93,en,he-IL,dry surface contamination,זיהום של משטח יבש
94,en,he-IL,ebola,אבולה
95,en,he-IL,effective treatment,טיפול אפקטיבי
96,en,he-IL,electron microscope,מיקרוסקופ אלקטרונים
97,en,he-IL,emergency department,מחלקת חירום
98,en,he-IL,epidemic,מגפה
99,en,he-IL,epidemic curve,עקומת המגיפה
100,en,he-IL,epidemic peak,שיא המגיפה
101,en,he-IL,epidemiologist,אפידמיולוג
102,en,he-IL,exposure,חשיפה
103,en,he-IL,extreme caution,זהירות מרבית
104,en,he-IL,eye protection,הגנה על העיניים
105,en,he-IL,face mask,מסיכת פנים
106,en,he-IL,face masks,מסיכות פנים
107,en,he-IL,family cluster,מקרי עבר משפחתיים
108,en,he-IL,fatality rate,שיעור התמותה
109,en,he-IL,fecal contamination,זיהום צואתי
110,en,he-IL,fever,חום
111,en,he-IL,flatten the infection curve,שיטוח עקומת הזיהום
112,en,he-IL,flu,שפעת
113,en,he-IL,food safety,בטיחות מזון
114,en,he-IL,formaldehyde,פורמלדהיד
115,en,he-IL,gastroenteritis,דלקת מעיים
116,en,he-IL,germicide,קוטל חיידקים
117,en,he-IL,global pandemic,מגפה עולמית
118,en,he-IL,global warming,התחממות גלובלית
119,en,he-IL,good respiratory hygiene,הגיינה נשימתית טובה
120,en,he-IL,Guangdong,גוואנז'ו
121,en,he-IL,H1N1,H1N1
122,en,he-IL,H1N1 virus,H1N1 וירוס
123,en,he-IL,hand disinfectant,מחטא ידיים
124,en,he-IL,hand sanitizer,מחטא ידיים
125,en,he-IL,health care provider,ספק שירותי בריאות
126,en,he-IL,health crisis,משבר בריאותי
127,en,he-IL,health plan carrier,בעל ביטוח רפואי
128,en,he-IL,health services,שירותי הבריאות
129,en,he-IL,heart failure,אי ספיקת לב
130,en,he-IL,high fever,חום גבוה
131,en,he-IL,HIV,איידס
132,en,he-IL,hospitalize,מאושפז
133,en,he-IL,household bleach,אקונומיקה ביתית
134,en,he-IL,Hubei,הוביי
135,en,he-IL,hydrogen peroxide,מי חמצן
136,en,he-IL,hygiene,הגיינה
137,en,he-IL,immune system,מערכת חיסונית
138,en,he-IL,immunity,חסינות
139,en,he-IL,immunocompromised,לא מחוסן
140,en,he-IL,immunologist,אימונולוג
141,en,he-IL,incubation,דגירה
142,en,he-IL,incubation period,תקופת הדגירה
143,en,he-IL,indirect contact,קשר עקיף
144,en,he-IL,infect,להדביק
145,en,he-IL,infection,זיהום
146,en,he-IL,infectious,מדבק
147,en,he-IL,infectivity,זיהום
148,en,he-IL,influenza,שפעת
149,en,he-IL,initial transmission event,אירוע ההעברה הראשוני
150,en,he-IL,intensive care equipment,ציוד טיפול נמרץ
151,en,he-IL,intermediate host,מארח ביניים (זמני)
152,en,he-IL,intrauterine,תוך רחמי
153,en,he-IL,intubation,אינטובציה
154,en,he-IL,isolation,בידוד
155,en,he-IL,Isopropanol,איזופרופנול
156,en,he-IL,laboratory test kit,ערכת בדיקת מעבדה
157,en,he-IL,laboratory testing,בדיקת מעבדה
158,en,he-IL,lack of testing,חוסר בבדיקות
159,en,he-IL,lack of tests,חוסר בערכות בדיקה
160,en,he-IL,latest updates,עדכונים אחרונים
161,en,he-IL,liver failure,כשל בכבד
162,en,he-IL,local public health authority,משרד הבריאות
163,en,he-IL,lockdown,סגר
164,en,he-IL,lungs,ריאות
165,en,he-IL,masks,מסיכות
166,en,he-IL,measles,חצבת
167,en,he-IL,mechanical ventilation,אוורור מכני
168,en,he-IL,media coverage,סיקור תקשורתי
169,en,he-IL,medical care,טיפול רפואי
170,en,he-IL,MERS,וירוס הגמלים
171,en,he-IL,MERS CoV,ןירוס הגמלים CoV
172,en,he-IL,microbiologist,מיקרוביולוג
173,en,he-IL,mild cough,שיעול קל
174,en,he-IL,mortality rate,שיעור תמותה
175,en,he-IL,multi-organ failure,כשל רב מערכתי
176,en,he-IL,nasal congestion,גודש באף
177,en,he-IL,neutral detergent,חומר ניקוי ניטרלי
178,en,he-IL,new normal,הנורמלי החדש
179,en,he-IL,novel corona virus,וירוס הקורונה החדש
180,en,he-IL,novel coronavirus,וירוסהקורונה החדש
181,en,he-IL,novel coronavirus outbreak,התפרצות וירוס הקורונה החדש
182,en,he-IL,novel virus,הוירוס החדש
183,en,he-IL,online medical consultation,יעוץ רפואי אונליין
184,en,he-IL,onset,התחלה
185,en,he-IL,outbreak,התפרצות
186,en,he-IL,outbreak readiness,מוכנות להתפרצות
187,en,he-IL,overall case fatality,מספר מקרי המוות סך הכל
188,en,he-IL,pandemic,מגיפה
189,en,he-IL,pangolin,פנגולין
190,en,he-IL,pathogen,פטוגן (מחולל מחלה)
191,en,he-IL,pathology,פתולוגיה
192,en,he-IL,patient care equipment,ציוד לטיפול בחולים
193,en,he-IL,personal protective equipment,ציוד הגנה אישי
194,en,he-IL,person-to-person transmission,העברה בין אדם לאדם
195,en,he-IL,phlegm,ליחה
196,en,he-IL,physical contact,מגע פיזי
197,en,he-IL,plague,מגיפה
198,en,he-IL,pneumonia,דלקת ריאות
199,en,he-IL,pneumonias,דלקת ריאות
200,en,he-IL,positive test,תוצאה חיובית
201,en,he-IL,precaution,אמצעי זהירות
202,en,he-IL,precautionary,זהירות
203,en,he-IL,pre-existing condition,מחלות רקע
204,en,he-IL,preparedness,מוכנות
205,en,he-IL,prognosis,איבחון
206,en,he-IL,protect myself,להגן על עצמי
207,en,he-IL,protect others,הגן על אחרים
208,en,he-IL,protect yourself,הגן על עצמך
209,en,he-IL,protective measures,אמצעי הגנה
210,en,he-IL,public health crisis,משבר בריאות הציבור
211,en,he-IL,pulmonary tissue damage,נזק לרקמות הריאה
212,en,he-IL,quarantine,הסגר
213,en,he-IL,rapid risk assessment,הערכת סיכון זריזה
214,en,he-IL,reagent,מגיב
215,en,he-IL,regular flu,שפעת רגילה
216,en,he-IL,reinfection,זיהום מחדש
217,en,he-IL,renal disease,מחלת כליות
218,en,he-IL,renal failure,כשל ריאתי
219,en,he-IL,respirator,הנשמה
220,en,he-IL,respiratory,נשימה
221,en,he-IL,respiratory disease,מחלה נשימתית
222,en,he-IL,respiratory distress,מצוקה נשימתית
223,en,he-IL,respiratory droplets,טיפות מדרכי הנשימה
224,en,he-IL,respiratory hygiene,הגיינה נשימתית
225,en,he-IL,respiratory illness,מחלה נשימתית
226,en,he-IL,respiratory syndrome,תסמונת נשימתית
227,en,he-IL,respiratory tract disease,מחלה בדרכי הנשימה
228,en,he-IL,restrictions,הגבלות
229,en,he-IL,resurge,תחיה
230,en,he-IL,RNA,חומצה ריבונוקלאית
231,en,he-IL,rubeola,אדמת
232,en,he-IL,runny nose,מנוזל
233,en,he-IL,SARS,סארס
234,en,he-IL,SARS-CoV-2,CoVסארס-2
235,en,he-IL,SARS-CoV,CoV-סארס
236,en,he-IL,sars-related coronavirus,סארס מקושר לקורונה
237,en,he-IL,seasonal flu,שפעת עונתית
238,en,he-IL,seasonal influenza,שפעת עונתית
239,en,he-IL,secretion,הפרשות
240,en,he-IL,self-quarantine,בידוד עצמי
241,en,he-IL,sepsis,אלח דם
242,en,he-IL,septic shock,הלם ספטי
243,en,he-IL,Severe Acute Respiratory Syndrome,תסמונת נשימתית חריפה
244,en,he-IL,shortness of breath,קוצר נשימה
245,en,he-IL,sickened,חולה
246,en,he-IL,sickness,חולי
247,en,he-IL,sneeze,התעטשות
248,en,he-IL,sneezes,התעטשויות
249,en,he-IL,sneezing,להתעטש
250,en,he-IL,social distancing,ריחוק חברתי
251,en,he-IL,sore throat,כאב גרון
252,en,he-IL,spanish flu,השפעת הספרדית
253,en,he-IL,specimen collection,אסיפת דגימות
254,en,he-IL,spread,התפשטות
255,en,he-IL,sputum,כיח
256,en,he-IL,stigmatisation,סטיגמטיזציה
257,en,he-IL,supportive,תומך
258,en,he-IL,surface,משטח
259,en,he-IL,surfaces,משטחים
260,en,he-IL,suspected infection,חשד לזיהום
261,en,he-IL,swab,ספוגית
262,en,he-IL,swine flu,שפעת החזירים
263,en,he-IL,symptom,תסמין
264,en,he-IL,symptomatic,תסמיני
265,en,he-IL,symptoms,תסמינים
266,en,he-IL,targeted disinfection,חיטוי ממוקד
267,en,he-IL,test kit,ערכת בדיקה
268,en,he-IL,testing error,שגיאת בדיקה
269,en,he-IL,tissue damage,נזק לרקמות
270,en,he-IL,tp shortage,"חוסר בנ""ט"
271,en,he-IL,toilet paper shortage,חוסר בנייר טואלט
272,en,he-IL,touch,נגע
273,en,he-IL,touching,לנגוע
274,en,he-IL,transmissibility,מעבר
275,en,he-IL,transmissible,ניתן להעברה
276,en,he-IL,transmission,הפצה
277,en,he-IL,transmission potential,פוטנציאל העברה
278,en,he-IL,typical flu,שפעת אופיינית
279,en,he-IL,underlying disease,מחלה חבויה
280,en,he-IL,updates,עדכונים
281,en,he-IL,vaccine,חיסון
282,en,he-IL,vaccines,חיסונים
283,en,he-IL,ventilation,איוורור
284,en,he-IL,ventilator,מאוורר
285,en,he-IL,ventilators,מאווררים
286,en,he-IL,viral infection,זיהום ויראלי
287,en,he-IL,viral outbreak,התפרצות ויראלית
288,en,he-IL,viral pandemic,מגיפה ויראלית
289,en,he-IL,viral pneumonia,דלקת ריאות ויראלית
290,en,he-IL,virtual care,טיפול וירטואלי
291,en,he-IL,virulence,ארסיות
292,en,he-IL,virus itself,הוירוס עצמו
293,en,he-IL,virus outbreak,התפרצות הוירוס
294,en,he-IL,virus scare,בהלת הוירוס
295,en,he-IL,virus spreads,הפצת הוירוס
296,en,he-IL,virus strain,זן הוירוס
297,en,he-IL,viral transmission,הדבקה ויראלית
298,en,he-IL,vivid-19,vivid-19
299,en,he-IL,washing hands,שטיפת ידיים
300,en,he-IL,washing ones hands,לשטוף ידיים
301,en,he-IL,wash your hands,שטוף את הידיים שלך
302,en,he-IL,white blood cell count,ספירת כדוריות דם לבנות
303,en,he-IL,widespread transmission,הדבקה נרחבת
304,en,he-IL,working from home,עבודה מהבית
305,en,he-IL,WFH,"עמה""ב (עבודה מהבית)"
306,en,he-IL,Wuhan,ווהאן
