id,sourceLang,targetLang,sourceString,targetString
1,en,hr-HR,1918 flu,gripa 1918.
2,en,hr-HR,acute bronchitis,akutni bronhitis
3,en,hr-HR,acute respiratory disease,akutna respiratorna bolest
4,en,hr-HR,AIDS,AIDS
5,en,hr-HR,airborne droplets,kapljice nošene zrakom
6,en,hr-HR,airway,dišni put
7,en,hr-HR,alcohol-based,na bazi alkohola
8,en,hr-HR,alcohol-based hand rub,sredstvo za čišćenje ruku na bazi alkohola
9,en,hr-HR,alcohol-based hand sanitizer,sredstvo za dezinfekciju ruku na bazi alkohola
10,en,hr-HR,alveolar disease,alveolarna bolest
11,en,hr-HR,an epidemic,epidemija
12,en,hr-HR,annual flu,sezonska gripa
13,en,hr-HR,anti-inflammatory drug,protuupalni lijek
14,en,hr-HR,antiviral drug,antivirusni lijek
15,en,hr-HR,antiviral treatment,antivirusna terapija
16,en,hr-HR,assay,analiza
17,en,hr-HR,asymptomatic,asimptomatski
18,en,hr-HR,avian flu,ptičja gripa
19,en,hr-HR,Black Plague,crna smrt
20,en,hr-HR,blood pressure,krvni tlak
21,en,hr-HR,body fluid,tjelesna tekućina
22,en,hr-HR,breathing,disanje
23,en,hr-HR,bubonic plague,bubonska kuga
24,en,hr-HR,c19,c19
25,en,hr-HR,cv19,cv19
26,en,hr-HR,case fatality rate,stopa smrtnosti za bolest
27,en,hr-HR,causative agent,uzročnik
28,en,hr-HR,CDC,CDC
29,en,hr-HR,chemical disinfection,kemijska dezinfekcija
30,en,hr-HR,chest x-ray,rendgen pluća
31,en,hr-HR,clinical diagnosis,klinička dijagnoza
32,en,hr-HR,clinical trial,kliničko ispitivanje
33,en,hr-HR,close contact,bliski kontakt
34,en,hr-HR,cvirus,kvirus
35,en,hr-HR,chronic respiratory disease,kronična respiratorna bolest
36,en,hr-HR,common cold,prehlada
37,en,hr-HR,common flu,gripa
38,en,hr-HR,communicable disease,prenosiva bolest
39,en,hr-HR,community spread,širenje u zajednici
40,en,hr-HR,community transmission,prijenos u zajednici
41,en,hr-HR,compromised immune system,ugrožen imunološki sustav
42,en,hr-HR,contagion,zaraza
43,en,hr-HR,contagious,zarazan
44,en,hr-HR,contagiousness,zaraznost
45,en,hr-HR,corona,korona
46,en,hr-HR,corona virus,korona virus
47,en,hr-HR,corona virus epidemic,epidemija korona virusa
48,en,hr-HR,corona virus outbreak,izbijanje epidemije korona virusa
49,en,hr-HR,corona virus scare,strah od širenja korona virusa
50,en,hr-HR,coronavirus,korona virus
51,en,hr-HR,coronavirus cases,slučajevi zaraze korona virusom
52,en,hr-HR,coronavirus outbreak,izbijanje epidemije koronavirusa
53,en,hr-HR,coronavirus pandemic,pandemija koronavirusa
54,en,hr-HR,coronavirus scare,strah od širenja koronavirusa
55,en,hr-HR,cough,kašalj
56,en,hr-HR,cough etiquette,ponašanje pri kašljanju
57,en,hr-HR,coughing,kašljanje
58,en,hr-HR,cov 19,cov 19
59,en,hr-HR,cov19,cov19
60,en,hr-HR,COVID,COVID
61,en,hr-HR,COVID-19 crisis,kriza zbog virusa COVID-19
62,en,hr-HR,covid-19,covid-19
63,en,hr-HR,covid19,covid19
64,en,hr-HR,COVID-19 epidemic,epidemija COVID-19
65,en,hr-HR,COVID-19 outbreak,izbijanje epidemije COVID-19
66,en,hr-HR,COVID-19 pandemic,pandemija COVID-19
67,en,hr-HR,COVID 19,COVID 19
68,en,hr-HR,current crisis,postojeća kriza
69,en,hr-HR,current health crisis,postojeća zdravstvena kriza
70,en,hr-HR,current outbreak,postojeće izbijanje epidemije
71,en,hr-HR,current pandemic,postojeća pandemija
72,en,hr-HR,CV,CV
73,en,hr-HR,CV-19,CV-19
74,en,hr-HR,deadly,smrtonosan
75,en,hr-HR,deadly virus,smrtonosan virus
76,en,hr-HR,death rate,stopa smrtnosti
77,en,hr-HR,death toll,broj umrlih
