id,sourceLang,targetLang,sourceString,targetString
1,en,ig-NG,1918 flu,Flu nke 1918
2,en,ig-NG,acute bronchitis,nnukwu bronchitis
3,en,ig-NG,acute respiratory disease,nnukwu ọrịa okuku ume
4,en,ig-NG,AIDS,AIDS
5,en,ig-NG,airborne droplets,ihe ntụsa na efe n'ikuku
6,en,ig-NG,airway,ụzọ ikuku
7,en,ig-NG,alcohol-based,nke eji mmanya eme
8,en,ig-NG,alcohol-based hand rub,nke eji mmanya eme a na ete n'aka
9,en,ig-NG,alcohol-based hand sanitizer,ihe nsacha aka nke eji mmanya eme
10,en,ig-NG,alveolar disease,ọrịa alveolar
11,en,ig-NG,an epidemic,ntiwapụ ọrịa
12,en,ig-NG,annual flu,flu kwa afọ
13,en,ig-NG,anti-inflammatory drug,ọgwụ na egbochi mkpali
14,en,ig-NG,antiviral drug,ọgwụ mgbochi nje
15,en,ig-NG,antiviral treatment,ọgwụgwọ mgbochi nje
16,en,ig-NG,assay,nyocha
17,en,ig-NG,asymptomatic,anaghị egosi ahụ mgbanwe
18,en,ig-NG,avian flu,avian flu
19,en,ig-NG,Black Plague,Ọrịa Mkpochapụ Ojii
20,en,ig-NG,blood pressure,ike ọbara
21,en,ig-NG,body fluid,mmiri anụahụ
22,en,ig-NG,breathing,iku ume
23,en,ig-NG,bubonic plague,ọrịa mkpochapụ bubonic
24,en,ig-NG,c19,c19
25,en,ig-NG,cv19,cv19
26,en,ig-NG,case fatality rate,ọnụọgụgụ ọnwụ
27,en,ig-NG,causative agent,ihe na ebute ihe
28,en,ig-NG,CDC,CDC
29,en,ig-NG,chemical disinfection,nhicha eji kemịkalụ
30,en,ig-NG,chest x-ray,x-ray obi
31,en,ig-NG,clinical diagnosis,nchọpụta ụlọ ọgwụ
32,en,ig-NG,clinical trial,nnwale ụlọ ọgwụ
33,en,ig-NG,close contact,onye mkpọtụrụ nọ nso
34,en,ig-NG,cvirus,cvirus
35,en,ig-NG,chronic respiratory disease,ọrịa okuku ume na adịghị ala ala
36,en,ig-NG,common cold,oyi nkịtị
37,en,ig-NG,common flu,flu nkịtị
38,en,ig-NG,communicable disease,ọrịa na efe efe
39,en,ig-NG,community spread,nkesa ogbe
40,en,ig-NG,community transmission,nnyefe ogbe
41,en,ig-NG,compromised immune system,sistemụ mgbochi ahụ mebiri emebi
42,en,ig-NG,contagion,mbusasị ọrịa
43,en,ig-NG,contagious,na efesasị efesa
44,en,ig-NG,contagiousness,nfesasị efesa
45,en,ig-NG,corona,corona
46,en,ig-NG,corona virus,nje corona
47,en,ig-NG,corona virus epidemic,ntiwapụ nje corona
48,en,ig-NG,corona virus outbreak,ndapụta nje corona
49,en,ig-NG,corona virus scare,ihe egwu nje corona
50,en,ig-NG,coronavirus,coronavirus
51,en,ig-NG,coronavirus cases,okwu coronavirus
52,en,ig-NG,coronavirus outbreak,ndapụta coronavirus
53,en,ig-NG,coronavirus pandemic,ntiwapụ coronavirus
54,en,ig-NG,coronavirus scare,ihe egwu coronavirus
55,en,ig-NG,cough,ụkwara
56,en,ig-NG,cough etiquette,iwu ụkwara
57,en,ig-NG,coughing,ịkwa ụkwara
58,en,ig-NG,cov 19,cov 19
59,en,ig-NG,cov19,cov19
60,en,ig-NG,COVID,COVID
61,en,ig-NG,COVID-19 crisis,nsogbu COVID-19
62,en,ig-NG,covid-19,covid-19
63,en,ig-NG,covid19,covid19
64,en,ig-NG,COVID-19 epidemic,ntiwapụ COVID-19
65,en,ig-NG,COVID-19 outbreak,ndapụta COVID-19
66,en,ig-NG,COVID-19 pandemic,ọgbaghara COVID-19
67,en,ig-NG,COVID 19,COVID 19
68,en,ig-NG,current crisis,nsogbu dị ugbu a
69,en,ig-NG,current health crisis,nsogbu ahụike dị ugbu a
70,en,ig-NG,current outbreak,ndapụta dị ugbu a
71,en,ig-NG,current pandemic,ọgbaghara dị ugbu a
72,en,ig-NG,CV,CV
73,en,ig-NG,CV-19,CV-19
74,en,ig-NG,deadly,na egbu egbu
75,en,ig-NG,deadly virus,nje na egbu egbu
76,en,ig-NG,death rate,ọnụọgụgụ ọnwụ
77,en,ig-NG,death toll,ọnụọgụgụ ndị nwụrụ anwụ
78,en,ig-NG,decontaminate,hichapụ nje
79,en,ig-NG,detectable,a na achọpụtanwu
80,en,ig-NG,detergent,ncha
81,en,ig-NG,difficulty breathing,nhịahụ n'iku ume
82,en,ig-NG,diabetes,ọrịa mamịrị
83,en,ig-NG,diagnosable disease,ọrịa enwere ike ịchọpụtanwu
84,en,ig-NG,diagnostic protocol,usoro nchọpụta
85,en,ig-NG,diagnostic testing,nnwale nchọpụta
86,en,ig-NG,disease itself,ọrịa n'onwe ya
87,en,ig-NG,disease outbreak,ndapụta ọrịa
88,en,ig-NG,disinfectant,ihe mgbochi nje
89,en,ig-NG,disposable,ihe ntufu
90,en,ig-NG,droplet transmission,nnyefe ihe ntụsa
91,en,ig-NG,droplets,ihe ntụsa
92,en,ig-NG,dry cough,ụkwara kpọrọ nkụ
93,en,ig-NG,dry surface contamination,ofufe elu kpọrọ nkụ
94,en,ig-NG,ebola,ebola
95,en,ig-NG,effective treatment,ọgwụgwọ na arụ ọrụ
96,en,ig-NG,electron microscope,mikroscopu elektrọn
97,en,ig-NG,emergency department,ngalaba ihe mberede
98,en,ig-NG,epidemic,ntiwapụ ọrịa
99,en,ig-NG,epidemic curve,usoro ntiwapụ ọrịa
100,en,ig-NG,epidemic peak,isi ntiwapụ ọrịa
101,en,ig-NG,epidemiologist,ọkachamara na ntiwapụ ọrịa
102,en,ig-NG,exposure,mkpughe
103,en,ig-NG,extreme caution,nnukwu mkpachapụ anya
104,en,ig-NG,eye protection,mkpuchi anya
105,en,ig-NG,face mask,ihe mkpuchi ihu
106,en,ig-NG,face masks,ihe ndị mkpuchi ihu
107,en,ig-NG,family cluster,ụyọkọ ezinụlọ
108,en,ig-NG,fatality rate,ọnụọgụgụ ọnwụ
109,en,ig-NG,fecal contamination,ofufe sitere na nsi
110,en,ig-NG,fever,ahụ ọkụ
111,en,ig-NG,flatten the infection curve,tidaa usoro ọfụfe ahụ
112,en,ig-NG,flu,flu
113,en,ig-NG,food safety,mkpuchido nri
114,en,ig-NG,formaldehyde,formaldehyde
115,en,ig-NG,gastroenteritis,gastroenteritis
116,en,ig-NG,germicide,germicide
117,en,ig-NG,global pandemic,ọgbaghara ozuru ụwa
118,en,ig-NG,global warming,okpomọkụ ozuru ụwa
119,en,ig-NG,good respiratory hygiene,ezigbo ịdị ọcha okuku ume
120,en,ig-NG,Guangdong,Guangdong
121,en,ig-NG,H1N1,H1N1
122,en,ig-NG,H1N1 virus,nje H1N1
123,en,ig-NG,hand disinfectant,ihe mgbochi nje nke aka
124,en,ig-NG,hand sanitizer,ihe nsacha aka nke aka
125,en,ig-NG,health care provider,onye na enye nlekọta ahụike
126,en,ig-NG,health crisis,nsogbu ahụike
127,en,ig-NG,health plan carrier,ihe ndọkpụ atụmatụ ahụike
128,en,ig-NG,health services,ọrụ ahụike
129,en,ig-NG,heart failure,mbibi mkpụrụobibi
130,en,ig-NG,high fever,nnukwu ahụ ọkụ
131,en,ig-NG,HIV,HIV
132,en,ig-NG,hospitalize,tinye n'ụlọ ọgwụ
133,en,ig-NG,household bleach,ihe nsacha ezinụlọ
134,en,ig-NG,Hubei,Hubei
135,en,ig-NG,hydrogen peroxide,hydrogen peroxide
136,en,ig-NG,hygiene,ịdị ọcha
137,en,ig-NG,immune system,sistemụ mgbochi ahụ
138,en,ig-NG,immunity,nchekwa
139,en,ig-NG,immunocompromised,sistemụ mgbochi ahụ na adịghị mma
140,en,ig-NG,immunologist,onye na ahụta maka mgbochi ahụ
141,en,ig-NG,incubation,ọbụbụ
142,en,ig-NG,incubation period,oge ọbụbụ
143,en,ig-NG,indirect contact,mmetụta sitere n'aka ọzọ
144,en,ig-NG,infect,fesa
145,en,ig-NG,infection,ọrịa
146,en,ig-NG,infectious,na efe efe
147,en,ig-NG,infectivity,ọfụfe
148,en,ig-NG,influenza,influenza
149,en,ig-NG,initial transmission event,mmemme nnyefe izizi
150,en,ig-NG,intensive care equipment,akụrụngwa nlekọta dị oke mkpa
151,en,ig-NG,intermediate host,onye mbugharị nọ n'etiti
152,en,ig-NG,intrauterine,intrauterine
153,en,ig-NG,intubation,intubation
154,en,ig-NG,isolation,nnọpụ iche
155,en,ig-NG,Isopropanol,Isopropanol
156,en,ig-NG,laboratory test kit,ngwungwu nnwale ụlọ nyocha
157,en,ig-NG,laboratory testing,nnwale ụlọ nyocha
158,en,ig-NG,lack of testing,enweghị nnwale
159,en,ig-NG,lack of tests,enweghị nnwale
160,en,ig-NG,latest updates,mmelite kachasị ọhụrụ
161,en,ig-NG,liver failure,mbibi imeju
162,en,ig-NG,local public health authority,ikike ahụike ọhaneze
163,en,ig-NG,lockdown,mkpọchi
164,en,ig-NG,lungs,akpa ume
165,en,ig-NG,masks,ihe mkpuchi ihu
166,en,ig-NG,measles,akpata
167,en,ig-NG,mechanical ventilation,iku ume eji igwe akwado
168,en,ig-NG,media coverage,mkpuchi ndị mgbasa ozi
169,en,ig-NG,medical care,nlekọta ahụike
170,en,ig-NG,MERS,MERS
171,en,ig-NG,MERS CoV,MERS CoV
172,en,ig-NG,microbiologist,ọkachamara na nje
173,en,ig-NG,mild cough,obere ụkwara
174,en,ig-NG,mortality rate,ọnụọgụgụ ọnwụ
175,en,ig-NG,multi-organ failure,mbibi ọtụtụ-ngwa ahụ
176,en,ig-NG,nasal congestion,mkpuchi imi
177,en,ig-NG,neutral detergent,ncha nọpụrụ iche
178,en,ig-NG,new normal,ihe nkịtị ọhụrụ
179,en,ig-NG,novel corona virus,nje corona dị ọhụrụ
180,en,ig-NG,novel coronavirus,coronavirus dị ọhụrụ
181,en,ig-NG,novel coronavirus outbreak,ndapụta coronavirus dị ọhụrụ
182,en,ig-NG,novel virus,nje dị ọhụrụ
183,en,ig-NG,online medical consultation,ịchọ ndụmọdụ ahụike n'ịntanetị
184,en,ig-NG,onset,ozugbo
185,en,ig-NG,outbreak,ndapụta
186,en,ig-NG,outbreak readiness,nkwadobe ndapụta
187,en,ig-NG,overall case fatality,nchịkọta ọnụọgụgụ ọnwụ
188,en,ig-NG,pandemic,ọgbaghara
189,en,ig-NG,pangolin,pangolin
