id,sourceLang,targetLang,sourceString,targetString
1,en,is-IS,1918 flu,1918 flensa
2,en,is-IS,acute bronchitis,bráð berkjubólga
3,en,is-IS,acute respiratory disease,bráður öndunarfærasjúkdómur
4,en,is-IS,AIDS,AIDS
5,en,is-IS,airborne droplets,svífandi smádropar
6,en,is-IS,airway,öndunarvegur
7,en,is-IS,alcohol-based,alkóhólbundinn
8,en,is-IS,alcohol-based hand rub,alkóhólbundinn handáburður
9,en,is-IS,alcohol-based hand sanitizer,alkóhólbundið handhreinsiefni
10,en,is-IS,alveolar disease,tannbergs sjúkdómur
11,en,is-IS,an epidemic,faraldur
12,en,is-IS,annual flu,árleg flensa
13,en,is-IS,anti-inflammatory drug,bólgueyðandi lyf
14,en,is-IS,antiviral drug,veirueyðandi lyf
15,en,is-IS,antiviral treatment,veirueyðandi meðferð
16,en,is-IS,assay,próf
17,en,is-IS,asymptomatic,einkennalaus
18,en,is-IS,avian flu,fuglaflensa
19,en,is-IS,Black Plague,Svartidauði
20,en,is-IS,blood pressure,blóðþrýstingur
21,en,is-IS,body fluid,líkamsvessi
22,en,is-IS,breathing,anda
23,en,is-IS,bubonic plague,svartidauði
24,en,is-IS,c19,c19
25,en,is-IS,cv19,cv19
26,en,is-IS,case fatality rate,tilvik dauðsfalla
27,en,is-IS,causative agent,orsakavaldur
28,en,is-IS,CDC,Sóttvarnalæknir
29,en,is-IS,chemical disinfection,sótthreinsun með efnum
30,en,is-IS,chest x-ray,röntgenmynd af brjósti
31,en,is-IS,clinical diagnosis,klínísk greining
32,en,is-IS,clinical trial,klínísk rannsókn
33,en,is-IS,close contact,mikil nánd
34,en,is-IS,cvirus,cvírus
35,en,is-IS,chronic respiratory disease,langvinnur öndunarfærasjúkdómur
36,en,is-IS,common cold,algengt kvef
37,en,is-IS,common flu,algeng flensa
38,en,is-IS,communicable disease,smitsjúkdómur
39,en,is-IS,community spread,dreifing í samfélagi
40,en,is-IS,community transmission,smit í samfélagi
41,en,is-IS,compromised immune system,ónæmiskerfi í hættu
42,en,is-IS,contagion,smitun
43,en,is-IS,contagious,smitandi
44,en,is-IS,contagiousness,smitun
45,en,is-IS,corona,kóróna
46,en,is-IS,corona virus,kórónavírus
47,en,is-IS,corona virus epidemic,kórónavírus faraldur
48,en,is-IS,corona virus outbreak,kórónavírus faraldur
49,en,is-IS,corona virus scare,hræðsla við kórónavírus
50,en,is-IS,coronavirus,kórónavírus
51,en,is-IS,coronavirus cases,tilfelli kórónavíruss
52,en,is-IS,coronavirus outbreak,kórónavírus faraldur
53,en,is-IS,coronavirus pandemic,kórónavírus heimsfaraldur
54,en,is-IS,coronavirus scare,hræðsla við kórónavírus
55,en,is-IS,cough,hósti
56,en,is-IS,cough etiquette,siðareglur við hósta
57,en,is-IS,coughing,hóstandi
58,en,is-IS,cov 19,cov 19
59,en,is-IS,cov19,cov19
60,en,is-IS,COVID,COVID
61,en,is-IS,COVID-19 crisis,COVID-19 hættuástand
62,en,is-IS,covid-19,covid-19
63,en,is-IS,covid19,covid19
64,en,is-IS,COVID-19 epidemic,COVID-19 faraldur
65,en,is-IS,COVID-19 outbreak,COVID-19 faraldur
66,en,is-IS,COVID-19 pandemic,COVID-19 heimsfaraldur
67,en,is-IS,COVID 19,COVID 19
68,en,is-IS,current crisis,núverandi hættuástand
69,en,is-IS,current health crisis,núverandi heilsu hættuástand
70,en,is-IS,current outbreak,núverandi faraldur
71,en,is-IS,current pandemic,núverandi heimsfaraldur
72,en,is-IS,CV,CV
73,en,is-IS,CV-19,CV-19
74,en,is-IS,deadly,banvænn
75,en,is-IS,deadly virus,banvænn vírus
76,en,is-IS,death rate,dánarhlutfall
77,en,is-IS,death toll,mannfall
78,en,is-IS,decontaminate,afmengun
79,en,is-IS,detectable,greinanlegt
80,en,is-IS,detergent,þvottaefni
81,en,is-IS,difficulty breathing,öndunarerfiðleikar
82,en,is-IS,diabetes,sykursýki
83,en,is-IS,diagnosable disease,greinanlegur sjúkdómur
84,en,is-IS,diagnostic protocol,greiningarferli
85,en,is-IS,diagnostic testing,greiningarpróf
86,en,is-IS,disease itself,sjúkdómurinn sjálfur
87,en,is-IS,disease outbreak,faraldur sjúkdóms
88,en,is-IS,disinfectant,sótthreinsiefni
89,en,is-IS,disposable,einnota
90,en,is-IS,droplet transmission,útbreiðsla smádropa
91,en,is-IS,droplets,smádropar
92,en,is-IS,dry cough,þurr hósti
93,en,is-IS,dry surface contamination,þurr yfirborðsmengun
94,en,is-IS,ebola,ebóla
95,en,is-IS,effective treatment,árangursrík meðferð
96,en,is-IS,electron microscope,rafeindasmásjá
97,en,is-IS,emergency department,bráðadeild
98,en,is-IS,epidemic,faraldur
99,en,is-IS,epidemic curve,faraldurs kúrfa
100,en,is-IS,epidemic peak,hámark faraldurs
101,en,is-IS,epidemiologist,sóttvarnalæknir
102,en,is-IS,exposure,útsetning
103,en,is-IS,extreme caution,mikil varúð
104,en,is-IS,eye protection,augnvernd
105,en,is-IS,face mask,andlitsgríma
106,en,is-IS,face masks,andlitsgrímur
107,en,is-IS,family cluster,fjölskylduklasi
108,en,is-IS,fatality rate,dánartíðni
109,en,is-IS,fecal contamination,saur mengun
110,en,is-IS,fever,hiti
111,en,is-IS,flatten the infection curve,fletja út sýkingarkúrfuna
112,en,is-IS,flu,flensa
113,en,is-IS,food safety,matar öryggi
114,en,is-IS,formaldehyde,formaldehýð
115,en,is-IS,gastroenteritis,meltingarfærabólga
116,en,is-IS,germicide,sýklaeyðandi
117,en,is-IS,global pandemic,heimsfaraldur
118,en,is-IS,global warming,hnatthlýnun
119,en,is-IS,good respiratory hygiene,gott öndunarfæra hreinlæti
120,en,is-IS,Guangdong,Guangdong
121,en,is-IS,H1N1,H1N1
122,en,is-IS,H1N1 virus,H1N1 vírus
123,en,is-IS,hand disinfectant,sótthreinsiefni handa
124,en,is-IS,hand sanitizer,handspritt
125,en,is-IS,health care provider,veitandi heilsugæslu
126,en,is-IS,health crisis,heilsukrísa
127,en,is-IS,health plan carrier,flutningsaðili heilsuáætlunar
128,en,is-IS,health services,heilbrigðisþjónusta
129,en,is-IS,heart failure,hjartabilun
130,en,is-IS,high fever,hár hiti
131,en,is-IS,HIV,HIV
132,en,is-IS,hospitalize,á sjúkrahús
133,en,is-IS,household bleach,klór til heimilisnota
134,en,is-IS,Hubei,Hubei
135,en,is-IS,hydrogen peroxide,vetnisperoxíð
136,en,is-IS,hygiene,hreinlæti
137,en,is-IS,immune system,ónæmiskerfi
138,en,is-IS,immunity,ónæmi
139,en,is-IS,immunocompromised,ónæmisbældum
140,en,is-IS,immunologist,ónæmisfræðingur
141,en,is-IS,incubation,ræktun
142,en,is-IS,incubation period,ræktunartímabil
143,en,is-IS,indirect contact,óbeint samband
144,en,is-IS,infect,smita
145,en,is-IS,infection,smitun
146,en,is-IS,infectious,smitandi
147,en,is-IS,infectivity,smitvirkni
148,en,is-IS,influenza,inflúensa
149,en,is-IS,initial transmission event,upphaflegur sendingar atburður
150,en,is-IS,intensive care equipment,gjörgæslubúnaður
151,en,is-IS,intermediate host,millihýsill
152,en,is-IS,intrauterine,innanlegs
153,en,is-IS,intubation,tilfærsla
154,en,is-IS,isolation,einangrun
155,en,is-IS,Isopropanol,Ísóprópanól
156,en,is-IS,laboratory test kit,rannsóknarstofu prófunarbúnaður
157,en,is-IS,laboratory testing,rannsóknarstofu próf
158,en,is-IS,lack of testing,skortur á prófum
159,en,is-IS,lack of tests,skortur á prófum
160,en,is-IS,latest updates,nýjustu uppfærslurnar
161,en,is-IS,liver failure,lifrarbilun
162,en,is-IS,local public health authority,staðbundin heilbrigðiseftirlit sveitarfélaga
163,en,is-IS,lockdown,lokun
164,en,is-IS,lungs,lungum
165,en,is-IS,masks,grímur
166,en,is-IS,measles,mislingar
167,en,is-IS,mechanical ventilation,vélræn loftræsting
