id,sourceLang,targetLang,sourceString,targetString
1,en,kk-KZ,1918 flu,1918 ж. тұмау
2,en,kk-KZ,acute bronchitis,жіті бронхит
3,en,kk-KZ,acute respiratory disease,жіті респираторлық ауру
4,en,kk-KZ,AIDS,ЖҚТБ
5,en,kk-KZ,airborne droplets,ауамен таралатын тамшылар
6,en,kk-KZ,airway,тыныс алу жолдары
7,en,kk-KZ,alcohol-based,құрамында спирт бар
8,en,kk-KZ,alcohol-based hand rub,құрамында спирт бар қолға арналған антисептик
9,en,kk-KZ,alcohol-based hand sanitizer,құрамында спирт бар қолға арналған зарарсыздандырғыш құрал
10,en,kk-KZ,alveolar disease,альвеококкоз
11,en,kk-KZ,an epidemic,эпидемия
12,en,kk-KZ,annual flu,жыл сайынғы тұмау
13,en,kk-KZ,anti-inflammatory drug,қабынуға қарсы дәрі-дәрмектер
14,en,kk-KZ,antiviral drug,вирусқа қарсы дәрі-дәрмектер
15,en,kk-KZ,antiviral treatment,вирусқа қарсы ем
16,en,kk-KZ,assay,тест
17,en,kk-KZ,asymptomatic,асимптомдық
18,en,kk-KZ,avian flu,құс тұмауы
19,en,kk-KZ,Black Plague,оба ауруы
20,en,kk-KZ,blood pressure,қан қысымы
21,en,kk-KZ,body fluid,денедегі сұйықтық
22,en,kk-KZ,breathing,тыныс алу
23,en,kk-KZ,bubonic plague,бубон обасы
24,en,kk-KZ,c19,c19
25,en,kk-KZ,cv19,cv19
26,en,kk-KZ,case fatality rate,өлім-жітім
27,en,kk-KZ,causative agent,ауру қоздырғыш
28,en,kk-KZ,CDC,Ауруды бақылау орталығы
29,en,kk-KZ,chemical disinfection,химиялық зарарсыздандыру
30,en,kk-KZ,chest x-ray,флюорография
31,en,kk-KZ,clinical diagnosis,клиникалық диагноз
32,en,kk-KZ,clinical trial,клиникалық зерттеу
33,en,kk-KZ,close contact,тығыз байланыс
34,en,kk-KZ,cvirus,коронавирус
35,en,kk-KZ,chronic respiratory disease,созылмалы респираторлық ауру
