id,sourceLang,targetLang,sourceString,targetString
1,en,lo-LA,1918 flu,ໄຂ້ຫວັດໃຫຍ່ປີ 1918
2,en,lo-LA,acute bronchitis,ອັກເສບປອດຮຸນແຮງ
3,en,lo-LA,acute respiratory disease,ພະຍາດທາງເດີນຫາຍໃຈຮຸນແຮງ
4,en,lo-LA,AIDS,AIDS
5,en,lo-LA,airborne droplets,ລະອອງນ້ຳໃນອາກາດ
6,en,lo-LA,airway,ທາງອາກາດ
7,en,lo-LA,alcohol-based,ສານເຫຼົ້າ
8,en,lo-LA,alcohol-based hand rub,ນ້ຳຢາລ້າງມືທີ່ມີສານເຫຼົ້າ
9,en,lo-LA,alcohol-based hand sanitizer,ເຈວລ້າງມືທີ່ມີສານເຫຼົ້າ
10,en,lo-LA,alveolar disease,ພະຍາດຖົງລົມ
11,en,lo-LA,an epidemic,ໂຣກລະບາດ
12,en,lo-LA,annual flu,ໄຂ້ຫວັດປະຈຳປີ
13,en,lo-LA,anti-inflammatory drug,ຢາປ້ອງກັນການອັກເສບ
14,en,lo-LA,antiviral drug,ຢາປ້ອງກັນໄວຣັສ
15,en,lo-LA,antiviral treatment,ການປິ່ນປົວດ້ວຍຢາປ້ອງກັນໄວຣັສ
16,en,lo-LA,assay,ການທົດສອບ
17,en,lo-LA,asymptomatic,ບໍ່ສະແດງອາການ
18,en,lo-LA,avian flu,ໄຂ້ຫວັດນົກ
19,en,lo-LA,Black Plague,ໂຣກລະບາດແບັກເພລກິວ
20,en,lo-LA,blood pressure,ຄວາມດັນເລືອດ
21,en,lo-LA,body fluid,ຂອງແຫຼວໃນຮ່າງກາຍ
22,en,lo-LA,breathing,ການຫາຍໃຈ
23,en,lo-LA,bubonic plague,ໂຣກລະບາດບູໂບນິກ
24,en,lo-LA,c19,c19
25,en,lo-LA,cv19,cv19
26,en,lo-LA,case fatality rate,ອັດຕາກໍລະນີເສຍຊີວິດ
27,en,lo-LA,causative agent,ຕົ້ນກຳເນີດສາເຫດ
28,en,lo-LA,CDC,CDC
29,en,lo-LA,chemical disinfection,ການຂ້າເຊື້ອດ້ວຍສານເຄມີ
30,en,lo-LA,chest x-ray,ສ່ອງໄຟເອັກຊະເຣໜ້າເອີກ
31,en,lo-LA,clinical diagnosis,ການບົ່ງມະຕິທາງການແພດ
32,en,lo-LA,clinical trial,ການທົດລອງທາງການແພດ
33,en,lo-LA,close contact,ສຳຜັດໃກ້ຊິດ
34,en,lo-LA,cvirus,ຊີໄວຣັສ
35,en,lo-LA,chronic respiratory disease,ພະຍາດທາງເດີນຫາຍໃຈຊຳເຮື້ອ
36,en,lo-LA,common cold,ໄຂ້ຫວັດທົ່ວໄປ
37,en,lo-LA,common flu,ໄຂ້ຫວັດໃຫຍ່ທົ່ວໄປ
38,en,lo-LA,communicable disease,ພະຍາດຕິດຕໍ່
39,en,lo-LA,community spread,ແຜ່ເຊື້ອເຂົ້າສູ່ຊຸມຊົນ
40,en,lo-LA,community transmission,ການສົ່ງຕໍ່ເຊື້ອເຂົ້າສູ່ຊຸມຊົນ
41,en,lo-LA,compromised immune system,ລະບົບພູມຕ້ານທານຫຼຸດນ້ອຍລົງ
42,en,lo-LA,contagion,ການຕິດເຊື້ອພະຍາດ
43,en,lo-LA,contagious,ຕິດເຊື້ອພະຍາດ
44,en,lo-LA,contagiousness,ຕິດເຊື້ອພະຍາດເປັນຈຳນວນຫຼາຍ
45,en,lo-LA,corona,ໂຄໂຣນາ
46,en,lo-LA,corona virus,ໄວຣັສ ໂຄໂຣນາ
47,en,lo-LA,corona virus epidemic,ໂຣກລະບາດໄວຣັສ ໂຄໂຣນາ
48,en,lo-LA,corona virus outbreak,ການລະບາດຂອງໄວຣັສ ໂຄໂຣນາ
49,en,lo-LA,corona virus scare,ອາການຢ້ານໄວຣັສ ໂຄໂຣນາ
50,en,lo-LA,coronavirus,ໄວຣັສໂຄໂຣນາ
51,en,lo-LA,coronavirus cases,ກໍລະນີຕິດເຊື້ອໄວຣັສໂຄໂຣນາ
52,en,lo-LA,coronavirus outbreak,ການລະບາດຂອງໄວຣັສໂຄໂຣນາ
53,en,lo-LA,coronavirus pandemic,ການລະບາດໃຫຍ່ຂອງໄວຣັສໂຄໂຣນາ
54,en,lo-LA,coronavirus scare,ອາການຢ້ານໄວຣັສໂຄໂຣນາ
55,en,lo-LA,cough,ອາການໄອ
56,en,lo-LA,cough etiquette,ມາລະຍາດໃນການໄອ
57,en,lo-LA,coughing,ໄອ
