id,sourceLang,targetLang,sourceString,targetString
1,en,so-SO,1918 flu,hergebka 1918
2,en,so-SO,acute bronchitis,bronkiita daran
3,en,so-SO,acute respiratory disease,Cudurka neef mareenka oo daran
4,en,so-SO,AIDS,AIDS-ka
5,en,so-SO,airborne droplets,Dhibco hawada mara
6,en,so-SO,airway,hawada mara
7,en,so-SO,alcohol-based,ka sameysan alkahool
8,en,so-SO,alcohol-based hand rub,gacan dhaqaha ka sameysan alkahool
9,en,so-SO,alcohol-based hand sanitizer,gacan nadiifiyaha ka sameysan alkahool
10,en,so-SO,alveolar disease,cudurka alveolar-ka
11,en,so-SO,an epidemic,aadka u faafa
12,en,so-SO,annual flu,hergebka sanadlaha ah
13,en,so-SO,anti-inflammatory drug,daawada anti-inflammatory-ga
14,en,so-SO,antiviral drug,daawada ka hortagga fayruuska
15,en,so-SO,antiviral treatment,daweynta ka hortagga fayruuska
16,en,so-SO,assay,assay-ga
17,en,so-SO,asymptomatic,aan lahayn calaamadaha cudurka
18,en,so-SO,avian flu,hergebka avian
19,en,so-SO,Black Plague,cudurka Madow
20,en,so-SO,blood pressure,dhiig kar
21,en,so-SO,body fluid,biyaha jirka
22,en,so-SO,breathing,neefsashada
23,en,so-SO,bubonic plague,cudurka bubooniga
24,en,so-SO,c19,c19
25,en,so-SO,cv19,cv19
26,en,so-SO,case fatality rate,heerka dhimashada cudurka
27,en,so-SO,causative agent,dhaliyaha cudurka
28,en,so-SO,CDC,CDC
29,en,so-SO,chemical disinfection,ku dilista jeermiska ee kiimikada
30,en,so-SO,chest x-ray,raajatada xabadka
31,en,so-SO,clinical diagnosis,ogaanshaha cudurka
32,en,so-SO,clinical trial,tijaabinta dawooyinka
33,en,so-SO,close contact,udhawaanshaha aadka u dhaw
34,en,so-SO,cvirus,feyruuska c
35,en,so-SO,chronic respiratory disease,Cudurka neef mareenka ee halista ah
36,en,so-SO,common cold,hergeb
37,en,so-SO,common flu,hergen
38,en,so-SO,communicable disease,cudurada laka la qaado
39,en,so-SO,community spread,kufaafa bulshada
40,en,so-SO,community transmission,u kala gudba bulshada
41,en,so-SO,compromised immune system,adkeynta difaaca jirka
42,en,so-SO,contagion,faafa
43,en,so-SO,contagious,laka la qaadi kara
44,en,so-SO,contagiousness,si fudud u faafa
45,en,so-SO,corona,koroona
46,en,so-SO,corona virus,fayruuska koroona
47,en,so-SO,corona virus epidemic,feyruuska koroona ee aadka u faafa
48,en,so-SO,corona virus outbreak,feyruuska koroona ee dilaacay
49,en,so-SO,corona virus scare,baqdinta fayruuska koroona
50,en,so-SO,coronavirus,feyruuska koroona
51,en,so-SO,coronavirus cases,kiisaska feyruuska koroona
52,en,so-SO,coronavirus outbreak,feyruuska koroona ee dilaacay
53,en,so-SO,coronavirus pandemic,feyruuska koroona ee aadka u faafa
54,en,so-SO,coronavirus scare,baqdinta feyruuska koroona
55,en,so-SO,cough,qunfaca
56,en,so-SO,cough etiquette,adaabta qunfaca
57,en,so-SO,coughing,qunficidda
58,en,so-SO,cov 19,cov 19
59,en,so-SO,cov19,cov19
60,en,so-SO,COVID,COVID
61,en,so-SO,COVID-19 crisis,dhibaatada COVID-19
62,en,so-SO,covid-19,covid-19
63,en,so-SO,covid19,covid19
64,en,so-SO,COVID-19 epidemic,COVID-19 ee aadka u faafa
65,en,so-SO,COVID-19 outbreak,COVID-19 ee dilaacay
66,en,so-SO,COVID-19 pandemic,COVID-19 ee aadka u faafa
67,en,so-SO,COVID 19,COVID 19
68,en,so-SO,current crisis,dhibaatada hadda taagan
69,en,so-SO,current health crisis,dhibaatada cafimaad ee hadda taagan
70,en,so-SO,current outbreak,dillaaca cudur ee hadda taagan
71,en,so-SO,current pandemic,cudurka hadda faafaaya
72,en,so-SO,CV,CV
73,en,so-SO,CV-19,CV-19
74,en,so-SO,deadly,halista ah
75,en,so-SO,deadly virus,feyruuska halista ah
76,en,so-SO,death rate,heerka dhimashada
77,en,so-SO,death toll,cadadka dhimashada
78,en,so-SO,decontaminate,bixinta halista
79,en,so-SO,detectable,la dareemi kara
80,en,so-SO,detergent,sabuun
81,en,so-SO,difficulty breathing,ku adkaanta neefsashada
82,en,so-SO,diabetes,cudurka macaanka
83,en,so-SO,diagnosable disease,cudur la ogaani kara
84,en,so-SO,diagnostic protocol,qaabka baaritaanka
85,en,so-SO,diagnostic testing,baritaanka ogaanshaha cudurka
86,en,so-SO,disease itself,cudurka laf ahantiisa
87,en,so-SO,disease outbreak,cudurka dilaacay
88,en,so-SO,disinfectant,dilaha jeermiska
89,en,so-SO,disposable,hal jeer la adeegsani karo
90,en,so-SO,droplet transmission,lagu kala qaadi kara dhibcaha
91,en,so-SO,droplets,dhibcaha
92,en,so-SO,dry cough,qunfac angagan
93,en,so-SO,dry surface contamination,wasakheynta goobaha angagan
94,en,so-SO,ebola,eboola
