id,sourceLang,targetLang,sourceString,targetString
1,en,sr-RS,1918 flu,грип из 1918.
2,en,sr-RS,acute bronchitis,акутни бронхитис
3,en,sr-RS,acute respiratory disease,акутна респираторна болест
4,en,sr-RS,AIDS,СИДА
5,en,sr-RS,airborne droplets,лебдеће капљице
6,en,sr-RS,airway,ваздушни пут
7,en,sr-RS,alcohol-based,на бази алкохола
8,en,sr-RS,alcohol-based hand rub,средство за руке на бази алкохола
9,en,sr-RS,alcohol-based hand sanitizer,средство за дезинфекцију руку на бази алкохола
10,en,sr-RS,alveolar disease,алвеоларна болест
11,en,sr-RS,an epidemic,епидемија
12,en,sr-RS,annual flu,годишњи грип
13,en,sr-RS,anti-inflammatory drug,антиинфламаторни лек
14,en,sr-RS,antiviral drug,антивирусни лек
15,en,sr-RS,antiviral treatment,антивирусно лечење
16,en,sr-RS,assay,тест
17,en,sr-RS,asymptomatic,асимптоматично
18,en,sr-RS,avian flu,птичји грип
19,en,sr-RS,Black Plague,Црна смрт
20,en,sr-RS,blood pressure,крвни притисак
21,en,sr-RS,body fluid,телесна течност
22,en,sr-RS,breathing,дисање
23,en,sr-RS,bubonic plague,бубонска куга
24,en,sr-RS,c19,c19
25,en,sr-RS,cv19,cv19
26,en,sr-RS,case fatality rate,стопа леталитета
27,en,sr-RS,causative agent,узрочни фактор
28,en,sr-RS,CDC,CDC
29,en,sr-RS,chemical disinfection,хемијска дезинфекција
30,en,sr-RS,chest x-ray,рендген грудног коша
31,en,sr-RS,clinical diagnosis,клиничка дијагноза
32,en,sr-RS,clinical trial,клиничко испитивање
33,en,sr-RS,close contact,близак контакт
34,en,sr-RS,cvirus,корона вирус
35,en,sr-RS,chronic respiratory disease,хронична респираторна болест
36,en,sr-RS,common cold,прехлада
37,en,sr-RS,common flu,обичан грип
38,en,sr-RS,communicable disease,заразна болест
39,en,sr-RS,community spread,ширење у заједници
40,en,sr-RS,community transmission,пренос у заједници
41,en,sr-RS,compromised immune system,угрожен имуни систем
42,en,sr-RS,contagion,зараза
43,en,sr-RS,contagious,заразно
44,en,sr-RS,contagiousness,заразност
45,en,sr-RS,corona,корона
46,en,sr-RS,corona virus,вирус корона
47,en,sr-RS,corona virus epidemic,епидемија вируса корона
48,en,sr-RS,corona virus outbreak,нагла појава вируса корона
49,en,sr-RS,corona virus scare,страх од вируса корона
50,en,sr-RS,coronavirus,корона вирус
51,en,sr-RS,coronavirus cases,случајеви корона вируса
52,en,sr-RS,coronavirus outbreak,нагла појава корона вируса
53,en,sr-RS,coronavirus pandemic,пандемија корона вируса
54,en,sr-RS,coronavirus scare,страх од корона вируса
55,en,sr-RS,cough,кашаљ
56,en,sr-RS,cough etiquette,правилно кашљање
57,en,sr-RS,coughing,кашљање
58,en,sr-RS,cov 19,cov 19
59,en,sr-RS,cov19,cov19
60,en,sr-RS,COVID,COVID
61,en,sr-RS,COVID-19 crisis,криза COVID-19
62,en,sr-RS,covid-19,covid-19
63,en,sr-RS,covid19,covid19
64,en,sr-RS,COVID-19 epidemic,епидемија COVID-19
65,en,sr-RS,COVID-19 outbreak,нагла појава COVID-19
66,en,sr-RS,COVID-19 pandemic,пандемија COVID-19
67,en,sr-RS,COVID 19,COVID 19
68,en,sr-RS,current crisis,тренутна криза
69,en,sr-RS,current health crisis,тренутна здравствена криза
70,en,sr-RS,current outbreak,тренутна нагла појава
71,en,sr-RS,current pandemic,тренутна пандемија
72,en,sr-RS,CV,CV
73,en,sr-RS,CV-19,CV-19
74,en,sr-RS,deadly,смртоносно
75,en,sr-RS,deadly virus,смртоносни вирус
76,en,sr-RS,death rate,стопа смртности
77,en,sr-RS,death toll,број смртних случајева
78,en,sr-RS,decontaminate,деконтаминирати
79,en,sr-RS,detectable,детектабилно
80,en,sr-RS,detergent,детерџент
81,en,sr-RS,difficulty breathing,тешкоће у дисању
82,en,sr-RS,diabetes,дијабетес
83,en,sr-RS,diagnosable disease,болест која се може дијагностиковати
84,en,sr-RS,diagnostic protocol,дијагностички протокол
85,en,sr-RS,diagnostic testing,дијагностичко испитивање
86,en,sr-RS,disease itself,сама болест
87,en,sr-RS,disease outbreak,нагла појава болести
88,en,sr-RS,disinfectant,средство за дезинфекцију
89,en,sr-RS,disposable,за једнократну употребу
90,en,sr-RS,droplet transmission,пренос капљица
91,en,sr-RS,droplets,капљице
92,en,sr-RS,dry cough,суви кашаљ
93,en,sr-RS,dry surface contamination,контаминација сувих површина
94,en,sr-RS,ebola,ебола
95,en,sr-RS,effective treatment,делотворно лечење
96,en,sr-RS,electron microscope,електронски микроскоп
97,en,sr-RS,emergency department,одељење хитне службе
98,en,sr-RS,epidemic,епидемија
99,en,sr-RS,epidemic curve,кривуља епидемије
100,en,sr-RS,epidemic peak,врхунац епидемије
101,en,sr-RS,epidemiologist,епидиомолог
102,en,sr-RS,exposure,изложеност
103,en,sr-RS,extreme caution,крајњи опрез
104,en,sr-RS,eye protection,заштита очију
105,en,sr-RS,face mask,маска за лице
106,en,sr-RS,face masks,маске за лице
107,en,sr-RS,family cluster,породични кластер
108,en,sr-RS,fatality rate,стопа смртности
109,en,sr-RS,fecal contamination,фекална контаминација
110,en,sr-RS,fever,температура
111,en,sr-RS,flatten the infection curve,изравнати криву инфекције
112,en,sr-RS,flu,грип
113,en,sr-RS,food safety,безбедност хране
114,en,sr-RS,formaldehyde,формалдехид
