id,sourceLang,targetLang,sourceString,targetString
1,en,th-TH,1918 flu,ไข้หวัดใหญ่ ค.ศ. 1918
2,en,th-TH,acute bronchitis,หลอดลมอักเสบเฉียบพลัน
3,en,th-TH,acute respiratory disease,โรคระบบทางเดินหายใจเฉียบพลัน
4,en,th-TH,AIDS,เอดส์
5,en,th-TH,airborne droplets,การติดต่อทางอากาศผ่านละอองฝอยน้ำมูกน้ำลาย
6,en,th-TH,airway,ทางเดินหายใจ
7,en,th-TH,alcohol-based,มีแอลกอฮอล์เป็นส่วนประกอบ
8,en,th-TH,alcohol-based hand rub,การถูมือด้วยผลิตภัณฑ์ที่มีแอลกอฮอล์เป็นส่วนประกอบ
9,en,th-TH,alcohol-based hand sanitizer,ผลิตภัณฑ์ทำความสะอาดมือที่มีแอลกอฮอล์เป็นส่วนประกอบ
10,en,th-TH,alveolar disease,โรคในถุงลมปอด
11,en,th-TH,an epidemic,โรคระบาด
12,en,th-TH,annual flu,ไข้หวัดใหญ่ประจำปี
13,en,th-TH,anti-inflammatory drug,ยาแก้อักเสบ
14,en,th-TH,antiviral drug,ยาต้านไวรัส
15,en,th-TH,antiviral treatment,การรักษาด้วยยาต้านไวรัส
16,en,th-TH,assay,การตรวจวิเคราะห์
17,en,th-TH,asymptomatic,ไม่แสดงอาการ
18,en,th-TH,avian flu,ไข้หวัดนก
19,en,th-TH,Black Plague,การระบาดของกาฬโรค
20,en,th-TH,blood pressure,ความดันโลหิต
21,en,th-TH,body fluid,ของเหลวในร่างกาย
22,en,th-TH,breathing,การหายใจ
23,en,th-TH,bubonic plague,กาฬโรคต่อมน้ำเหลือง
24,en,th-TH,c19,c19
25,en,th-TH,cv19,cv19
26,en,th-TH,case fatality rate,อัตราป่วยตาย
27,en,th-TH,causative agent,เชื้อต้นเหตุที่ทำให้เกิดโรค
28,en,th-TH,CDC,CDC
29,en,th-TH,chemical disinfection,การฆ่าเชื้อด้วยสารเคมี
30,en,th-TH,chest x-ray,การเอกซเรย์ทรวงอก
31,en,th-TH,clinical diagnosis,การวินิจฉัยทางคลินิก
32,en,th-TH,clinical trial,การทดลองทางคลินิก
33,en,th-TH,close contact,การสัมผัสใกล้ชิด
34,en,th-TH,cvirus,cvirus
35,en,th-TH,chronic respiratory disease,โรคระบบทางเดินหายใจเรื้อรัง
36,en,th-TH,common cold,ไข้หวัดธรรมดา
37,en,th-TH,common flu,ไข้หวัดใหญ่ทั่วไป
38,en,th-TH,communicable disease,โรคติดต่อ
39,en,th-TH,community spread,การแพร่กระจายภายในชุมชน
40,en,th-TH,community transmission,การแพร่เชื้อภายในชุมชน
41,en,th-TH,compromised immune system,ระบบภูมิคุ้มกันอ่อนแอ
42,en,th-TH,contagion,การติดโรค
43,en,th-TH,contagious,โรคที่ติดต่อกันได้
44,en,th-TH,contagiousness,ความสามารถในการติดต่อ
45,en,th-TH,corona,โคโรนา
46,en,th-TH,corona virus,ไวรัสโคโรนา
47,en,th-TH,corona virus epidemic,โรคระบาดจากไวรัสโคโรนา
48,en,th-TH,corona virus outbreak,การระบาดของไวรัสโคโรนา
49,en,th-TH,corona virus scare,ความตื่นตระหนกเกี่ยวกับไวรัสโคโรนา
50,en,th-TH,coronavirus,ไวรัสโคโรนา
51,en,th-TH,coronavirus cases,ผู้ป่วยที่ติดเชื้อไวรัสโคโรนา
